SZN,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CPOE,EPA/DB,YPG(t),paYPG,ruYPG,recYPG,RYOE,FPOE,aFPOE,PROJ,CSTY%,CL
2025,5022,Dallas Goedert,TE,30.9,PHI,7,4,2,185.1,155.1,125.1,15,15,15,928,787,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,60,357,4,23,11,82,234,591,9.9,7.2,0,0,0,591,0,0,0,0,84.8%,NA,NA,NA,0,NA,34,82,0.415,2.3,396,16.5%,1.49,0,NA,NA,NA,NA,NA,0.058,0,591,NA,NA,39.4,0.0,0.0,39.4,NA,0.0,2.6,155.5,47%,23.6
2025,8408,Jordan Mason,RB,26.5,MIN,36,35,33,128.9,121.9,114.9,16,16,5,880,386,3,0.0%,0,0,0,0,0,0,0.00,758,0,0,0,0.00,0.00,14,-51,0,1,0,16,102,51,3.6,3.2,159,10,39,809,6,574,758,4.77,43.9%,50,3.61,0.314,45,0.676,46,175,0.263,2.9,NA,3.3%,NA,0,NA,NA,NA,NA,NA,NA,0,809,NA,NA,50.6,0.0,47.4,3.2,257.0,0.0,-2.5,168.8,13%,16.0
2025,1466,Travis Kelce,TE,36.2,KC,3,3,5,193.2,155.2,117.2,17,17,17,1049,851,1,0.0%,0,0,0,0,0,0,0.00,1,0,0,0,0.00,0.00,76,428,7,41,5,108,423,851,11.2,7.9,1,0,0,852,0,0,1,1,81.1%,NA,0.00,NA,0,NA,46,109,0.422,2.7,529,18.5%,1.61,0,NA,NA,NA,NA,NA,0.078,0,852,NA,NA,50.1,0.0,0.1,50.1,NA,0.0,0.5,188.5,47%,21.7
2025,12521,Elijah Arroyo,TE,22.7,SEA,60,61,62,36.9,29.4,21.9,16,13,4,801,316,1,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,15,101,1,6,1,26,78,179,11.9,6.9,0,0,0,179,0,0,0,0,39.5%,NA,NA,NA,0,NA,7,26,0.269,0.5,114,5.4%,1.57,0,NA,NA,NA,NA,NA,0.053,0,179,NA,NA,13.8,0.0,0.0,13.8,NA,0.0,-0.9,50.2,0%,7.8
2025,7567,Kenneth Gainwell,RB,26.7,PIT,16,20,24,222.3,185.8,149.3,17,17,2,956,467,2,0.0%,0,0,0,0,0,0,0.00,537,0,0,0,0.00,0.00,73,-42,2,20,3,85,528,486,6.7,5.7,114,14,29,1023,5,406,537,4.71,48.8%,34,3.56,0.298,34,0.654,57,199,0.286,3.4,NA,15.5%,NA,0,NA,NA,NA,NA,NA,NA,0,1023,NA,NA,60.2,0.0,31.6,28.6,181.0,0.0,2.4,176.6,41%,28.2
2025,8111,Cade Otton,TE,26.6,TB,22,25,28,122.2,92.7,63.2,16,16,16,1065,993,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,59,261,1,24,1,81,311,572,9.7,7.1,0,0,0,572,0,0,0,0,93.2%,NA,NA,NA,0,NA,25,81,0.309,1.6,430,14.5%,1.33,0,NA,NA,NA,NA,NA,0.056,0,572,NA,NA,35.8,0.0,0.0,35.8,NA,0.0,0.1,121.8,25%,17.7
2025,3214,Hunter Henry,TE,31.0,NE,9,7,4,178.8,148.8,118.8,17,17,17,1035,835,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,60,433,3,35,7,87,335,768,12.8,8.8,0,0,0,768,0,0,0,0,80.7%,NA,NA,NA,0,NA,42,87,0.483,2.5,431,17.3%,1.78,0,NA,NA,NA,NA,NA,0.081,0,768,NA,NA,45.2,0.0,0.0,45.2,NA,0.0,-0.1,166.3,35%,23.0
2025,4033,David Njoku,TE,29.4,CLE,34,32,31,86.3,69.8,53.3,12,12,11,799,514,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,33,133,1,7,4,48,160,293,8.9,6.1,0,0,0,293,0,0,0,0,64.3%,NA,NA,NA,0,NA,11,48,0.229,0.9,251,8.6%,1.17,0,NA,NA,NA,NA,NA,0.028,0,293,NA,NA,24.4,0.0,0.0,24.4,NA,0.0,-1.6,115.4,17%,14.2
2025,7611,Rhamondre Stevenson,RB,27.8,NE,25,25,25,178.8,162.8,146.8,14,14,13,839,505,3,0.0%,0,0,0,0,0,0,0.00,603,0,0,0,0.00,0.00,32,82,0,9,2,37,263,345,10.8,9.3,130,12,22,948,7,468,603,4.64,60.2%,33,3.60,0.254,29,0.614,40,167,0.240,2.9,NA,7.4%,NA,0,NA,NA,NA,NA,NA,NA,0,948,NA,NA,67.7,0.0,43.1,24.6,229.0,0.0,4.2,130.5,43%,27.9
2025,11626,Xavier Legette,WR,24.8,CAR,71,71,77,89.3,71.8,54.3,15,15,12,934,642,1,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,35,288,2,15,3,64,75,363,10.4,5.7,1,0,0,363,0,0,0,0,68.7%,NA,NA,NA,0,NA,18,65,0.277,1.2,385,12.4%,0.94,0,NA,NA,NA,NA,NA,0.039,0,363,NA,NA,24.2,0.0,0.0,24.2,NA,0.0,-1.0,106.2,13%,17.9
2025,8136,Rachaad White,RB,26.9,TB,32,34,40,143,123,103,17,17,8,1134,574,0,0.0%,0,0,0,0,0,0,0.00,572,0,0,0,0.00,0.00,40,-111,0,10,0,45,329,218,5.5,4.8,132,9,33,790,4,425,572,4.33,50.6%,38,3.22,0.288,37,0.610,47,177,0.266,2.8,NA,8.1%,NA,0,NA,NA,NA,NA,NA,NA,0,790,NA,NA,46.5,0.0,33.6,12.8,79.0,0.0,-1.5,171.0,18%,18.4
2025,9225,Tank Bigsby,RB,24.3,PHI,68,63,60,53.8,52.3,50.8,17,11,1,991,101,0,0.0%,0,0,0,0,0,0,0.00,356,0,0,0,0.00,0.00,3,-7,0,1,0,4,39,32,10.7,8.0,63,9,16,388,2,269,356,5.65,10.2%,19,4.26,0.302,18,0.728,19,67,0.284,1.7,NA,0.8%,NA,0,NA,NA,NA,NA,NA,NA,0,388,NA,NA,35.3,0.0,32.4,2.9,136.0,0.0,1.4,34.5,9%,12.6
2025,3257,Jacoby Brissett,QB,33.0,ARI,16,16,16,235.44,235.44,235.44,17,10,12,1077,757,5,64.9%,1809,485,315,142,170,8,94.06,3534,43,23,3366,6.94,10.69,0,0,0,0,0,0,0,0,0.0,0.0,38,2,15,168,1,0,168,4.42,70.3%,NA,NA,NA,16,NA,181,523,0.346,18.1,NA,NA,NA,165,34.0%,2.42,6.4%,40.6%,6.3,NA,456,3534,3.4%,-0.04,353.4,336.6,16.8,0.0,NA,0.0,0.0,191.6,#N/A,#N/A
2025,12510,Jalen Milroe,QB,23.0,SEA,327,327,327,-1.6,-1.6,-1.6,4,0,0,284,3,1,0.0%,0,0,0,0,0,0,0.00,4,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,3,0,0,4,0,0,4,1.33,1.1%,NA,NA,NA,0,NA,0,3,0.000,NA,NA,NA,NA,0,NA,0.00,0.0%,0.0%,0.0,NA,0,4,#N/A,#N/A,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA
2025,5967,Tony Pollard,RB,28.6,TEN,23,24,23,185.8,169.3,152.8,17,17,17,1002,623,4,0.0%,0,0,0,0,0,0,0.00,1082,0,0,0,0.00,0.00,33,4,2,11,0,41,202,206,6.2,5.0,242,16,43,1288,5,838,1082,4.47,62.2%,69,3.46,0.285,48,0.631,59,283,0.208,3.5,NA,7.2%,NA,0,NA,NA,NA,NA,NA,NA,0,1288,NA,NA,75.8,0.0,63.6,12.1,226.0,0.0,0.2,182.5,29%,20.4
