POS,STAT,CATEGORY,OPERATOR,ALT_OPERATOR,VALUE
TE,pass_cmp,MID-LOW,≥,,0
TE,pass_cmp,MID-HIGH,≥,,0
TE,pass_cmp,HIGH,≥,,0
TE,pass_cmp,Y-MAX,-,,1
TE,cmp_pct,Y-MIN,-,,-1
TE,cmp_pct,LOW,<,,0
TE,cmp_pct,MID-LOW,≥,,0
TE,cmp_pct,MID-HIGH,≥,,0
TE,cmp_pct,HIGH,≥,,0
TE,cmp_pct,Y-MAX,-,,1
TE,pass_yd,Y-MIN,-,,-1
TE,pass_yd,LOW,<,,0
TE,pass_yd,MID-LOW,≥,,0
TE,pass_yd,MID-HIGH,≥,,0
TE,pass_yd,HIGH,≥,,0
TE,pass_yd,Y-MAX,-,,1
TE,pass_td,Y-MIN,-,,-1
TE,pass_td,LOW,<,,0
TE,pass_td,MID-LOW,≥,,0
TE,pass_td,MID-HIGH,≥,,0
TE,pass_td,HIGH,≥,,0
TE,pass_td,Y-MAX,-,,1
TE,pass_fd,Y-MIN,-,,-1
TE,pass_fd,LOW,<,,0
TE,pass_fd,MID-LOW,≥,,0
TE,pass_fd,MID-HIGH,≥,,0
TE,pass_fd,HIGH,≥,,0
TE,pass_fd,Y-MAX,-,,1
TE,imp_per_g,Y-MIN,-,,0
TE,imp_per_g,LOW,<,,1
TE,imp_per_g,MID-LOW,≥,,2
TE,imp_per_g,MID-HIGH,≥,,3
TE,imp_per_g,HIGH,≥,,4
TE,imp_per_g,Y-MAX,-,,5
TE,pass_rtg,Y-MIN,-,,-1
TE,pass_rtg,LOW,<,,0
TE,pass_rtg,MID-LOW,≥,,0
TE,pass_rtg,MID-HIGH,≥,,0
TE,pass_rtg,HIGH,≥,,0
TE,pass_rtg,Y-MAX,-,,1
TE,pass_imp,Y-MIN,-,,-1
TE,pass_imp,LOW,<,,0
TE,pass_imp,MID-LOW,≥,,0
TE,pass_imp,MID-HIGH,≥,,0
TE,pass_imp,HIGH,≥,,0
TE,pass_imp,Y-MAX,-,,1
TE,pass_int,Y-MIN,-,,-1
TE,pass_int,LOW,<,,0
TE,pass_int,MID-LOW,≥,,0
TE,pass_int,MID-HIGH,≥,,0
TE,pass_int,HIGH,≥,,0
TE,pass_int,Y-MAX,-,,1
TE,pass_sack,Y-MIN,-,,-1
TE,pass_sack,LOW,<,,0
TE,pass_sack,MID-LOW,≥,,0
TE,pass_sack,MID-HIGH,≥,,0
TE,pass_sack,HIGH,≥,,0
TE,pass_sack,Y-MAX,-,,1
TE,rush_att,Y-MIN,-,,0
TE,rush_att,LOW,<,,0
TE,rush_att,MID-LOW,≥,,0
TE,rush_att,MID-HIGH,≥,,0
TE,rush_att,HIGH,≥,,0
TE,rush_att,Y-MAX,-,,1
TE,rush_yd,Y-MIN,-,,-1
TE,rush_yd,LOW,<,,0
TE,rush_yd,MID-LOW,≥,,0
TE,rush_yd,MID-HIGH,≥,,0
TE,rush_yd,HIGH,≥,,0
TE,rush_yd,Y-MAX,-,,1
TE,ypc,Y-MIN,-,,-1
TE,ypc,LOW,<,,0
TE,ypc,MID-LOW,≥,,0
TE,ypc,MID-HIGH,≥,,0
TE,ypc,HIGH,≥,,0
TE,ypc,Y-MAX,-,,1
TE,rush_td,Y-MIN,-,,-1
TE,rush_td,LOW,<,,0
TE,rush_td,MID-LOW,≥,,0
TE,rush_td,MID-HIGH,≥,,0
TE,rush_td,HIGH,≥,,0
TE,rush_td,Y-MAX,-,,1
TE,rush_fd,Y-MIN,-,,-1
TE,rush_fd,LOW,<,,0
TE,rush_fd,MID-LOW,≥,,0
TE,rush_fd,MID-HIGH,≥,,0
TE,rush_fd,HIGH,≥,,0
TE,rush_fd,Y-MAX,-,,1
TE,yco_per_att,Y-MIN,-,,-1
TE,yco_per_att,LOW,<,,0
TE,yco_per_att,MID-LOW,≥,,0
TE,yco_per_att,MID-HIGH,≥,,0
TE,yco_per_att,HIGH,≥,,0
TE,yco_per_att,Y-MAX,-,,1
TE,mtf_per_att,Y-MIN,-,,-1
TE,mtf_per_att,LOW,<,,0
TE,mtf_per_att,MID-LOW,≥,,0
TE,mtf_per_att,MID-HIGH,≥,,0
TE,mtf_per_att,HIGH,≥,,0
TE,mtf_per_att,Y-MAX,-,,1
TE,rec_tgt,Y-MIN,-,,1
TE,rec_tgt,LOW,<,,3
TE,rec_tgt,MID-LOW,≥,,4
TE,rec_tgt,MID-HIGH,≥,,6
TE,rec_tgt,HIGH,≥,,8
TE,rec_tgt,Y-MAX,-,,10
TE,rec,Y-MIN,-,,1
TE,rec,LOW,<,,2
TE,rec,MID-LOW,≥,,3
TE,rec,MID-HIGH,≥,,4
TE,rec,HIGH,≥,,6
TE,rec,Y-MAX,-,,7
TE,rec_yd,Y-MIN,-,,0.85
TE,rec_yd,LOW,<,,14.25
TE,rec_yd,MID-LOW,≥,,29
TE,rec_yd,MID-HIGH,≥,,47
TE,rec_yd,HIGH,≥,,72.3
TE,rec_yd,Y-MAX,-,,90
TE,rec_td,Y-MIN,-,,0
TE,rec_td,LOW,<,,0
TE,rec_td,MID-LOW,≥,,0
TE,rec_td,MID-HIGH,≥,,0
TE,rec_td,HIGH,≥,,1
TE,rec_td,Y-MAX,-,,1
TE,rec_fd,Y-MIN,-,,0
TE,rec_fd,LOW,<,,0
TE,rec_fd,MID-LOW,≥,,1
TE,rec_fd,MID-HIGH,≥,,2
TE,rec_fd,HIGH,≥,,3
TE,rec_fd,Y-MAX,-,,4
TE,rec_yar,Y-MIN,-,,0
TE,rec_yar,LOW,<,,5
TE,rec_yar,MID-LOW,≥,,12
TE,rec_yar,MID-HIGH,≥,,24
TE,rec_yar,HIGH,≥,,36.3
TE,rec_yar,Y-MAX,-,,47.15
TE,ypr,Y-MIN,-,,0.595
TE,ypr,LOW,<,,6.325
TE,ypr,MID-LOW,≥,,9.3
TE,ypr,MID-HIGH,≥,,12.3
TE,ypr,HIGH,≥,,17.36
TE,ypr,Y-MAX,-,,21
TE,rr,Y-MIN,-,,11
TE,rr,LOW,<,,16
TE,rr,MID-LOW,≥,,22
TE,rr,MID-HIGH,≥,,28
TE,rr,HIGH,≥,,35
TE,rr,Y-MAX,-,,38
TE,ts_per_rr,Y-MIN,-,,2.9
TE,ts_per_rr,LOW,<,,8.3
TE,ts_per_rr,MID-LOW,≥,,13.3
TE,ts_per_rr,MID-HIGH,≥,,18.8
TE,ts_per_rr,HIGH,≥,,24.2
TE,ts_per_rr,Y-MAX,-,,28.175
TE,yprr,Y-MIN,-,,0.0425
TE,yprr,LOW,<,,0.7325
TE,yprr,MID-LOW,≥,,1.325
TE,yprr,MID-HIGH,≥,,2.0875
TE,yprr,HIGH,≥,,2.958
TE,yprr,Y-MAX,-,,3.64
TE,first_down_rec_rate,Y-MIN,-,,0
TE,first_down_rec_rate,LOW,<,,0
TE,first_down_rec_rate,MID-LOW,≥,,0.056
TE,first_down_rec_rate,MID-HIGH,≥,,0.095
TE,first_down_rec_rate,HIGH,≥,,0.1386
TE,first_down_rec_rate,Y-MAX,-,,0.167
TE,imp,Y-MIN,-,,0
TE,imp,LOW,<,,1
TE,imp,MID-LOW,≥,,2
TE,imp,MID-HIGH,≥,,3
TE,imp,HIGH,≥,,4
TE,imp,Y-MAX,-,,5
TE,opp,Y-MIN,-,,1
TE,opp,LOW,<,,3
TE,opp,MID-LOW,≥,,4
TE,opp,MID-HIGH,≥,,6
TE,opp,HIGH,≥,,8.3
TE,opp,Y-MAX,-,,10
TE,fum,Y-MIN,-,,-1
TE,fum,LOW,<,,0
TE,fum,MID-LOW,≥,,0
TE,fum,MID-HIGH,≥,,0
TE,fum,HIGH,≥,,0
TE,fum,Y-MAX,-,,1
TE,snp,Y-MIN,-,,23
TE,snp,LOW,<,,33
TE,snp,MID-LOW,≥,,44
TE,snp,MID-HIGH,≥,,53
TE,snp,HIGH,≥,,61
TE,snp,Y-MAX,-,,66
TE,snp_pct,Y-MIN,-,,36
TE,snp_pct,LOW,<,,53
TE,snp_pct,MID-LOW,≥,,68
TE,snp_pct,MID-HIGH,≥,,83
TE,snp_pct,HIGH,≥,,92
TE,snp_pct,Y-MAX,-,,95.15
TE,yds_total,Y-MIN,-,,1
TE,yds_total,LOW,<,,15
TE,yds_total,MID-LOW,≥,,29
TE,yds_total,MID-HIGH,≥,,48
TE,yds_total,HIGH,≥,,73
TE,yds_total,Y-MAX,-,,90
TE,fpoe,Y-MIN,-,,-7.025
TE,fpoe,LOW,<,,-3.1
TE,fpoe,MID-LOW,≥,,-0.1
TE,fpoe,MID-HIGH,≥,,3.825
TE,fpoe,HIGH,≥,,8.9
TE,fpoe,Y-MAX,-,,11.825
