SZN,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,1DRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,DB,YDS(t),CPOE,EPA/DB,YPG(t),paYPG,ruYPG,RYOE,ExplRu%,recYPG,AY/Tgt,AY%,RZ Tgt,10+ Tgt,Quick Tgt,EZ Tgt,FPOE(t),FPOE,PROJ,CSTY%,CL
2025,11630,Roman Wilson,WR,24.5,PIT,NA,PLACEHOLDER,PLACEHOLDER,NA,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,121,1,126,70,123,103,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,122,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,104
2025,8180,Jalen Nailor,WR,26.8,MIN,61,PLACEHOLDER,PLACEHOLDER,61,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,58,43,65,40,71,75,63,7,25,NA,NA,NA,60,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,62,71,31,77,42,65,84,86,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,78,NA,28,NA,NA,78,17,58,34,47,91,30,19,23,77,84,51
2025,11596,Ben Sinnott,TE,23.5,WAS,NA,PLACEHOLDER,PLACEHOLDER,NA,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,59,1,62,47,66,61,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,63,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,60
2025,4950,Christian Kirk,WR,29.0,HOU,96,PLACEHOLDER,PLACEHOLDER,96,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,117,84,98,92,75,73,105,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,102,79,119,99,81,82,102,94,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,104,NA,49,NA,NA,104,NA,100,71,102,60,71,116,116,73,94,97
2025,8125,Calvin Austin III,WR,26.7,PIT,73,PLACEHOLDER,PLACEHOLDER,73,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,77,84,95,53,68,68,74,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,87,71,107,88,74,68,74,94,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,79,NA,49,NA,NA,77,NA,57,84,75,49,71,98,98,54,55,73
2025,8188,Tyquan Thornton,WR,25.3,KC,80,PLACEHOLDER,PLACEHOLDER,80,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,53,105,95,53,96,108,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,87,99,44,88,89,96,38,83,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,71,NA,49,NA,NA,70,NA,39,84,57,108,40,9,11,103,55,71
2025,1373,Geno Smith,QB,35.2,LV,23,PLACEHOLDER,PLACEHOLDER,23,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,7,11,24,18,17,18,36,36,32,21,35,21,20,25,31,NA,NA,NA,NA,NA,NA,NA,NA,3,3,21,15,19,28,36,NA,31,26,14,NA,NA,NA,23,NA,NA,NA,24,24,NA,NA,NA,NA,19,20,12,24,26,35,17,21,17,32,28,22,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,39,18,35,23
2025,12505,Jalen Royals,WR,22.8,KC,NA,PLACEHOLDER,PLACEHOLDER,NA,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,145
2025,6130,Devin Singletary,RB,28.3,NYG,NA,PLACEHOLDER,PLACEHOLDER,NA,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,39,34,52,45,55,44,44,NA,NA,45,55,45,NA,30,50,48,43,NA,58,48,49,45,49,47,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,42,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,39
2025,12543,Tahj Brooks,RB,23.6,CIN,NA,PLACEHOLDER,PLACEHOLDER,NA,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,76,97,NA,78,92,95,NA,NA,100,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,81
