WK,SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
1,1,6904,Jalen Hurts,QB,27.1,PHI,8.0,8,8,24.28,24.28,24.28,1,1,1,63,63,0,82.6%,91,23,19,6,4,0,94.20,214,1,0,152,6.61,8.00,0,0,0,0,0,0,0,0,0.0,0.0,14,2,5,62,2,NA,62,4.43,100.0%,NA,NA,NA,7,NA,13,37,NA,NA,NA,NA,NA,6,26.1%,3.17,4.3%,42.4%,4.5,NA,33,214,vs DAL,1,·,24.9,-0.6
1,1,9493,Puka Nacua,WR,24.3,LAR,5.0,7,9,23.1,18.1,13.1,1,1,1,60,38,0,0.0%,0,0,0,0,0,0,0.00,1,0,0,0,0.00,0.00,10,87,0,7,0,11,43,130,13.0,11.8,1,0,0,131,0,NA,1,1,63.0%,NA,NA,NA,0,NA,7,12,0.583,7.0,22,37.9%,5.91,0,NA,NA,NA,NA,NA,0.318,NA,131,vs HOU,26,·,16.6,6.5
1,1,6770,Joe Burrow,QB,28.8,CIN,28.0,28,28,8.82,8.82,8.82,1,1,1,52,52,0,60.9%,64,23,14,6,9,0,87.80,116,3,1,113,4.91,8.07,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,3,0,NA,3,1.5,100.0%,NA,NA,NA,0,NA,7,25,NA,NA,NA,NA,NA,7,30.4%,2.76,8.7%,28.6%,7.0,NA,28,116,@ CLE,24,IR,22.9,-14.1
1,1,7547,Amon-Ra St. Brown,WR,25.9,DET,47.0,48,49,8.5,6.5,4.5,1,1,1,67,63,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,40,0,4,0,6,5,45,11.3,7.5,0,0,0,45,0,NA,0,0,94.0%,NA,NA,NA,0,NA,4,6,0.667,4.0,42,15.4%,1.07,0,NA,NA,NA,NA,NA,0.095,NA,45,@ GB,28,·,16.6,-8.1
1,1,12527,Ashton Jeanty,RB,21.8,LV,24.0,23,22,12,11,10,1,1,1,63,54,0,0.0%,0,0,0,0,0,0,0.00,38,0,0,0,0.00,0.00,2,-4,0,0,0,2,6,2,1.0,1.0,19,2,1,40,1,34,38,2,86.0%,5,1.80,0.263,2,0.443,2,21,0.095,2.0,NA,5.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,40,@ NE,27,·,18.0,-6.0
1,1,11631,Brian Thomas Jr.,WR,22.9,JAX,42.0,36,27,9,8.5,8,1,1,1,66,57,0,0.0%,0,0,0,0,0,0,0.00,9,0,0,0,0.00,0.00,1,11,1,1,0,7,0,11,11.0,1.6,1,0,0,20,1,NA,9,9,86.0%,NA,NA,NA,1,NA,2,8,0.250,2.0,30,22.6%,0.37,0,NA,NA,NA,NA,NA,0.033,NA,20,vs CAR,29,·,17.2,-8.2
1,1,6797,Justin Herbert,QB,27.5,LAC,5.0,5,5,27.92,27.92,27.92,1,1,1,65,65,0,73.5%,184,34,25,13,9,0,131.70,350,3,3,318,9.35,12.72,0,0,0,0,0,0,0,0,0.0,0.0,7,0,1,32,0,NA,32,4.57,100.0%,NA,NA,NA,1,NA,17,41,NA,NA,NA,NA,NA,16,47.1%,2.88,8.8%,36.6%,9.6,NA,41,350,vs KC,30,·,18.1,9.8
1,1,8112,Drake London,WR,24.2,ATL,23.0,29,42,13.5,9.5,5.5,1,1,1,76,67,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,38,0,2,0,15,17,55,6.9,3.7,0,0,0,55,0,NA,0,0,88.0%,NA,NA,NA,0,NA,2,15,0.133,2.0,37,35.7%,1.49,0,NA,NA,NA,NA,NA,0.054,NA,55,vs TB,16,·,17.6,-4.1
1,1,9488,Jaxon Smith-Njigba,WR,23.6,SEA,11.0,14,19,19.4,14.9,10.4,1,1,1,52,40,2,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,9,95,0,6,0,13,29,124,13.8,9.5,0,0,0,124,0,NA,0,0,77.0%,NA,NA,NA,0,NA,6,13,0.462,6.0,21,56.5%,5.90,0,NA,NA,NA,NA,NA,0.286,NA,124,vs SF,18,·,15.2,4.2
1,1,4866,Saquon Barkley,RB,28.6,PHI,7.0,7,8,18.4,16.4,14.4,1,1,1,63,50,0,0.0%,0,0,0,0,0,0,0.00,60,0,0,0,0.00,0.00,4,-3,1,2,0,5,27,24,6.0,4.8,18,1,3,84,1,63,60,3.33,79.0%,3,3.50,0.167,4,0.517,6,23,0.261,6.0,NA,21.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,84,vs DAL,5,Q,19.4,-1.0
1,1,8130,Trey McBride,TE,25.8,ARI,12.0,13,17,12.1,9.1,6.1,1,1,1,66,64,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,18,0,4,0,9,43,61,10.2,6.8,0,0,0,61,0,NA,0,0,97.0%,NA,NA,NA,0,NA,4,9,0.444,4.0,33,31.0%,1.85,0,NA,NA,NA,NA,NA,0.121,NA,61,@ NO,4,·,14.9,-2.8
1,1,7569,Nico Collins,WR,26.5,HOU,65.0,69,78,5.5,4,2.5,1,1,1,63,53,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,15,0,0,0,5,10,25,8.3,5.0,0,0,0,25,0,NA,0,0,84.0%,NA,NA,NA,0,NA,0,5,0.000,0.0,27,18.5%,0.93,0,NA,NA,NA,NA,NA,0.000,NA,25,@ LAR,12,·,17.6,-12.1
1,1,11564,Drake Maye,QB,23.0,NE,17.0,17,18,16.78,16.28,15.78,1,1,1,71,71,1,65.2%,173,46,30,14,16,1,80.60,298,4,1,287,6.24,9.57,1,-8,0,0,0,1,10,2,2.0,2.0,4,0,0,13,0,NA,11,2.75,100.0%,NA,NA,NA,0,NA,15,51,NA,NA,NA,NA,NA,15,32.6%,2.80,6.5%,37.7%,8.0,NA,53,300,vs LV,13,·,19.2,-2.4
1,1,12514,Emeka Egbuka,WR,22.9,TB,4.0,3,3,23.6,21.6,19.6,1,1,1,58,54,0,0.0%,0,0,0,0,0,0,0.00,9,0,0,0,0.00,0.00,4,52,0,0,2,6,15,67,16.8,11.2,1,0,0,76,0,NA,9,9,93.0%,NA,NA,NA,0,NA,2,7,0.286,2.0,32,18.8%,2.09,0,NA,NA,NA,NA,NA,0.000,NA,76,@ ATL,30,·,12.8,10.8
1,1,11635,Ladd McConkey,WR,23.9,LAC,25.0,25,28,13.4,10.4,7.4,1,1,1,65,55,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,57,0,3,0,9,17,74,12.3,8.2,0,0,0,74,0,NA,0,0,85.0%,NA,NA,NA,0,NA,3,9,0.333,3.0,35,26.5%,2.11,0,NA,NA,NA,NA,NA,0.086,NA,74,vs KC,31,·,15.4,-2.0
1,1,4046,Patrick Mahomes,QB,30.0,KC,6.0,6,6,26.02,26.02,26.02,1,1,1,61,61,0,61.5%,142,39,24,8,15,0,89.50,315,2,1,258,6.62,10.75,0,0,0,0,0,0,0,0,0.0,0.0,6,0,4,57,1,NA,57,9.5,100.0%,NA,NA,NA,5,NA,14,45,NA,NA,NA,NA,NA,9,23.1%,2.38,10.3%,25.5%,7.0,NA,47,315,@ LAC,18,·,21.3,4.7
1,1,11584,Bucky Irving,RB,23.1,TB,15.0,19,20,14.5,12.5,10.5,1,1,1,58,44,0,0.0%,0,0,0,0,0,0,0.00,37,0,0,0,0.00,0.00,4,-5,0,0,1,4,13,8,2.0,2.0,14,0,1,45,0,38,37,2.64,76.0%,3,2.70,0.214,1,0.484,2,18,0.111,2.0,NA,12.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,45,@ ATL,32,OUT,18.6,-4.1
1,1,9226,De'Von Achane,RB,23.9,MIA,11.0,10,11,16.5,15,13.5,1,1,1,48,35,0,0.0%,0,0,0,0,0,0,0.00,55,0,0,0,0.00,0.00,3,-6,1,0,1,4,26,20,6.7,5.0,7,2,2,75,0,47,55,7.86,73.0%,4,6.70,0.571,2,1.241,3,11,0.273,3.0,NA,12.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,75,@ IND,24,·,20.2,-3.7
