WK,SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
5,5,11631,Brian Thomas Jr.,WR,23.0,JAX,30.0,30,31,12,10,8,1,1,1,58,54,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,58,0,3,0,6,22,80,20.0,13.3,0,0,0,80,0,NA,0,0,93.0%,NA,NA,NA,0,NA,3,6,0.500,3.0,28,24.0%,2.86,0,NA,NA,NA,NA,NA,0.107,NA,80,vs KC,31,·,14.2,-2.2
5,5,12507,Omarion Hampton,RB,22.5,LAC,21.0,24,27,13,10,7,1,1,1,67,39,0,0.0%,0,0,0,0,0,0,0.00,44,0,0,0,0.00,0.00,6,-18,0,1,0,6,44,26,4.3,4.3,12,3,2,70,0,50,44,3.67,58.0%,10,4.20,0.833,2,1.253,3,18,0.167,3.0,NA,18.2%,NA,0,NA,NA,NA,NA,NA,NA,NA,70,vs WAS,21,OUT,18.5,-5.5
5,5,4046,Patrick Mahomes,QB,30.0,KC,4.0,4,4,27.72,27.72,27.72,1,1,1,64,64,0,70.7%,167,41,29,14,12,1,91.30,378,0,1,318,7.76,10.97,0,0,0,0,0,0,0,0,0.0,0.0,6,1,3,60,1,NA,60,10,100.0%,NA,NA,NA,4,NA,19,47,NA,NA,NA,NA,NA,15,36.6%,2.88,14.6%,23.9%,9.4,NA,46,378,@ JAX,26,·,22.5,5.2
5,5,8138,James Cook,RB,26.0,BUF,42.0,38,35,4.9,4.9,4.9,1,1,1,68,49,0,0.0%,0,0,0,0,0,0,0.00,49,0,0,0,0.00,0.00,0,0,1,0,0,1,0,0,0.0,0.0,15,0,2,49,0,36,49,3.27,72.0%,4,2.40,0.267,2,0.507,2,16,0.125,2.0,NA,3.2%,NA,0,NA,NA,NA,NA,NA,NA,NA,49,vs NE,27,·,18.5,-13.6
5,5,6804,Jordan Love,QB,26.9,GB,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
5,5,8146,Garrett Wilson,WR,25.2,NYJ,12.0,10,12,19.1,16.1,13.1,1,1,1,82,77,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,53,1,3,1,10,18,71,11.8,7.1,0,0,0,71,0,NA,0,0,94.0%,NA,NA,NA,0,NA,4,10,0.400,4.0,47,21.7%,1.51,0,NA,NA,NA,NA,NA,0.064,NA,71,vs DAL,1,·,15.5,3.6
5,5,12518,Tyler Warren,TE,23.4,IND,11.0,11,9,14.4,12.4,10.4,1,1,1,66,47,0,0.0%,0,1,0,0,1,0,39.60,0,0,0,0,0.00,0.00,4,33,0,1,1,4,11,44,11.0,11.0,0,0,0,44,0,NA,0,0,71.0%,NA,NA,NA,0,NA,2,5,0.400,2.0,24,12.5%,1.83,0,0.0%,NA,NA,NA,NA,0.042,NA,44,vs LV,25,·,12.8,1.6
5,5,11635,Ladd McConkey,WR,23.9,LAC,20.0,21,20,14.9,12.4,9.9,1,1,0,67,53,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,32,0,2,1,7,7,39,7.8,5.6,0,0,0,39,0,NA,0,0,79.0%,NA,NA,NA,0,NA,3,7,0.429,3.0,30,21.2%,1.30,0,NA,NA,NA,NA,NA,0.067,NA,39,vs WAS,10,·,12.7,2.2
5,5,11563,Bo Nix,QB,25.6,DEN,15.0,15,15,17.88,17.88,17.88,1,1,1,74,74,0,61.5%,120,39,24,11,15,0,87.80,264,2,1,242,6.21,10.08,0,0,0,0,0,0,0,0,0.0,0.0,3,0,1,22,0,NA,22,7.33,100.0%,NA,NA,NA,1,NA,13,42,NA,NA,NA,NA,NA,12,30.8%,2.68,12.8%,27.9%,8.9,NA,43,264,@ PHI,16,·,18.9,-1.0
5,5,12512,Quinshon Judkins,RB,21.9,CLE,20.0,18,15,13.8,13.3,12.8,1,1,1,70,39,0,0.0%,0,0,0,0,0,0,0.00,110,0,0,0,0.00,0.00,1,2,0,1,0,2,16,18,18.0,9.0,23,0,5,128,0,113,110,4.78,56.0%,4,4.90,0.174,5,0.664,6,25,0.240,6.0,NA,6.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,128,vs MIN,15,·,14.9,-1.1
5,5,4892,Baker Mayfield,QB,30.4,TB,6.0,6,6,26.66,26.66,26.66,1,1,1,61,61,0,87.9%,177,33,29,15,4,0,134.70,394,1,2,379,11.48,13.07,0,0,0,0,0,0,0,0,0.0,0.0,5,0,1,15,0,NA,15,3,100.0%,NA,NA,NA,1,NA,18,38,NA,NA,NA,NA,NA,17,51.5%,2.95,9.1%,34.2%,7.2,NA,38,394,@ SEA,21,·,20.4,6.3
5,5,10229,Rashee Rice,WR,25.4,KC,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ JAX,24,SUS,SUS,SUS
5,5,4034,Christian McCaffrey,RB,29.3,SF,4.0,6,6,27.9,23.9,19.9,1,1,1,86,76,0,0.0%,0,0,0,0,0,0,0.00,57,0,0,0,0.00,0.00,8,2,0,4,1,9,80,82,10.3,9.1,22,0,2,139,0,59,57,2.59,88.0%,12,2.70,0.545,2,0.815,7,31,0.226,7.0,NA,18.4%,NA,0,NA,NA,NA,NA,NA,NA,NA,139,@ LAR,30,·,24.9,3.0
5,5,11628,Marvin Harrison Jr.,WR,23.1,ARI,22.0,23,24,13.8,11.8,9.8,1,1,1,67,52,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,88,0,4,0,5,10,98,24.5,19.6,0,0,0,98,0,NA,0,0,76.0%,NA,NA,NA,0,NA,4,5,0.800,4.0,31,15.6%,3.16,0,NA,NA,NA,NA,NA,0.129,NA,98,vs TEN,9,·,11.8,2.0
5,5,12529,TreVeyon Henderson,RB,22.9,NE,43.0,43,44,4.7,3.7,2.7,1,1,0,60,30,0,0.0%,0,0,0,0,0,0,0.00,24,0,0,0,0.00,0.00,2,-2,0,0,0,3,5,3,1.5,1.0,6,0,1,27,0,25,24,4,50.0%,1,4.10,0.167,1,0.577,1,9,0.111,1.0,NA,10.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,27,@ BUF,13,·,9.5,-4.8
5,5,8150,Kyren Williams,RB,25.1,LAR,3.0,3,5,31.1,27.1,23.1,1,1,1,68,62,1,0.0%,0,0,0,0,0,0,0.00,65,0,0,0,0.00,0.00,8,30,1,1,2,10,36,66,8.3,6.6,14,0,4,131,0,49,65,4.64,91.0%,2,3.50,0.143,4,0.493,7,24,0.292,7.0,NA,21.3%,NA,0,NA,NA,NA,NA,NA,NA,NA,131,vs SF,14,·,13.9,17.2
5,5,5850,Josh Jacobs,RB,27.6,GB,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
5,5,8183,Brock Purdy,QB,25.8,SF,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ LAR,17,OUT,OUT,OUT
5,5,8155,Breece Hall,RB,24.3,NYJ,12.0,13,13,17.5,15.5,13.5,1,1,1,82,51,1,0.0%,0,0,0,0,0,0,0.00,113,0,0,0,0.00,0.00,4,17,0,1,0,5,25,42,10.5,8.4,14,1,6,155,0,39,113,8.07,62.0%,5,2.80,0.357,6,0.637,7,19,0.368,7.0,NA,10.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,155,vs DAL,5,·,15.8,1.7
5,5,5859,A.J. Brown,WR,28.2,PHI,48.0,52,56,9.3,6.8,4.3,1,1,1,61,57,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,29,0,3,0,8,14,43,8.6,5.4,0,0,0,43,0,NA,0,0,93.0%,NA,NA,NA,0,NA,3,8,0.375,3.0,42,21.1%,1.02,0,NA,NA,NA,NA,NA,0.071,NA,43,vs DEN,27,·,13.5,-4.2
5,5,9997,Zay Flowers,WR,25.0,BAL,29.0,33,38,12.2,9.7,7.2,1,1,1,43,36,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,42,0,1,0,5,30,72,14.4,14.4,0,0,0,72,0,NA,0,0,84.0%,NA,NA,NA,0,NA,1,5,0.200,1.0,21,25.0%,3.43,0,NA,NA,NA,NA,NA,0.048,NA,72,vs HOU,26,·,14.5,-2.3
5,5,12522,Cam Ward,QB,23.3,TEN,26.0,26,26,9,9,9,1,1,1,67,67,0,53.8%,184,39,21,12,18,1,64.60,259,2,0,265,6.79,12.62,0,0,0,0,0,0,0,0,0.0,0.0,5,1,0,-6,0,NA,-6,-1.2,100.0%,NA,NA,NA,0,NA,12,44,NA,NA,NA,NA,NA,12,30.8%,2.93,15.4%,23.8%,10.9,NA,42,259,@ ARI,25,·,14.8,-5.8
5,5,12508,Jaxson Dart,QB,22.4,NYG,16.0,16,16,17.58,17.58,17.58,1,1,1,73,73,1,65.0%,64,40,26,8,14,2,73.10,257,1,2,202,5.05,7.77,0,0,0,0,0,0,0,0,0.0,0.0,7,0,4,55,0,NA,55,7.86,100.0%,NA,NA,NA,4,NA,14,47,NA,NA,NA,NA,NA,10,25.0%,2.93,15.0%,34.8%,8.5,NA,46,257,@ NO,5,Q,19.7,-2.1
5,5,11638,Ricky Pearsall,WR,25.0,SF,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ LAR,12,OUT,OUT,OUT
5,5,9484,Tucker Kraft,TE,24.9,GB,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
5,5,9758,C.J. Stroud,QB,24.0,HOU,1.0,1,1,28.76,28.76,28.76,1,1,1,70,56,0,85.2%,167,27,23,9,4,0,143.90,274,2,4,244,9.04,10.61,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,30,0,NA,30,30,80.0%,NA,NA,NA,1,NA,14,28,NA,NA,NA,NA,NA,13,48.1%,2.67,7.4%,30.0%,7.5,NA,30,274,@ BAL,2,·,15.4,13.4
5,5,8151,Kenneth Walker III,RB,24.9,SEA,26.0,26,24,9.6,9.1,8.6,1,1,1,61,27,0,0.0%,0,0,0,0,0,0,0.00,86,0,0,0,0.00,0.00,1,0,0,0,0,1,0,0,0.0,0.0,10,1,3,86,0,19,86,8.6,44.0%,2,1.90,0.200,3,0.390,3,11,0.273,3.0,NA,2.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,86,vs TB,17,·,12.0,-2.4
5,5,3163,Jared Goff,QB,31.0,DET,13.0,13,13,20.12,20.12,20.12,1,1,1,62,62,1,82.6%,86,23,19,11,4,0,153.00,256,4,3,258,11.22,13.58,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,-2,0,NA,-2,-1,100.0%,NA,NA,NA,0,NA,14,25,NA,NA,NA,NA,NA,14,60.9%,2.60,4.3%,29.6%,4.8,NA,27,256,@ CIN,7,·,20.0,0.1
5,5,8148,Jameson Williams,WR,24.5,DET,89.0,89,88,2,1.5,1,1,1,1,62,51,0,0.0%,0,0,0,0,0,0,0.00,1,0,0,0,0.00,0.00,1,7,0,1,0,1,2,9,9.0,9.0,1,0,0,10,0,NA,1,1,82.0%,NA,NA,NA,0,NA,1,2,0.500,1.0,24,4.2%,0.38,0,NA,NA,NA,NA,NA,0.042,NA,10,@ CIN,11,·,12.3,-10.3
5,5,10859,Sam LaPorta,TE,24.7,DET,4.0,4,4,20.2,17.7,15.2,1,1,1,62,58,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,23,0,3,1,6,69,92,18.4,15.3,0,0,0,92,0,NA,0,0,94.0%,NA,NA,NA,0,NA,4,6,0.667,4.0,21,25.0%,4.38,0,NA,NA,NA,NA,NA,0.143,NA,92,@ CIN,1,·,11.7,8.5
5,5,3198,Derrick Henry,RB,31.7,BAL,29.0,25,23,9.3,9.3,9.3,1,1,1,43,28,0,0.0%,0,0,0,0,0,0,0.00,33,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,15,0,2,33,1,38,33,2.2,65.0%,0,2.50,0.000,3,0.250,3,16,0.188,3.0,NA,5.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,33,vs HOU,20,·,18.1,-8.8
5,5,5849,Kyler Murray,QB,28.1,ARI,22.0,22,21,15.3,15.3,15.3,1,1,1,67,65,1,74.2%,105,31,23,8,8,0,93.50,245,3,0,220,7.10,9.57,0,0,0,0,0,0,0,0,0.0,0.0,4,0,2,25,1,NA,25,6.25,96.0%,NA,NA,NA,3,NA,11,35,NA,NA,NA,NA,NA,8,25.8%,2.89,9.7%,38.9%,7.1,NA,36,245,vs TEN,23,Q,20.5,-5.2
5,5,6801,Tee Higgins,WR,26.7,CIN,35.0,32,30,11.2,9.7,8.2,1,1,1,62,60,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,22,0,2,1,7,0,22,7.3,3.1,0,0,0,22,0,NA,0,0,97.0%,NA,NA,NA,0,NA,3,7,0.429,3.0,41,17.5%,0.54,0,NA,NA,NA,NA,NA,0.049,NA,22,vs DET,6,·,10.9,0.3
5,5,8137,George Pickens,WR,24.6,DAL,24.0,19,16,13.7,12.7,11.7,1,1,1,60,47,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,49,0,1,1,4,8,57,28.5,14.3,0,0,0,57,0,NA,0,0,78.0%,NA,NA,NA,0,NA,2,4,0.500,2.0,28,13.8%,2.04,0,NA,NA,NA,NA,NA,0.036,NA,57,@ NYJ,13,·,16.1,-2.4
5,5,7525,DeVonta Smith,WR,26.9,PHI,10.0,14,17,19.4,15.4,11.4,1,1,1,61,60,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,74,0,3,0,10,40,114,14.3,11.4,0,0,0,114,0,NA,0,0,98.0%,NA,NA,NA,0,NA,3,10,0.300,3.0,44,26.3%,2.59,0,NA,NA,NA,NA,NA,0.068,NA,114,vs DEN,27,·,11.8,7.6
5,5,11624,Xavier Worthy,WR,22.4,KC,37.0,45,50,11.1,8.1,5.1,1,1,1,64,49,0,0.0%,0,0,0,0,0,0,0.00,9,0,0,0,0.00,0.00,6,35,0,1,0,9,7,42,7.0,4.7,1,0,0,51,0,NA,9,9,77.0%,NA,NA,NA,0,NA,1,10,0.100,1.0,33,22.0%,1.27,0,NA,NA,NA,NA,NA,0.030,NA,51,@ JAX,24,·,13.2,-2.1
5,5,9224,Chase Brown,RB,25.5,CIN,24.0,28,37,11.8,8.3,4.8,1,1,1,62,33,1,0.0%,0,0,0,0,0,0,0.00,27,0,0,0,0.00,0.00,7,-3,0,0,0,8,24,21,3.0,2.6,8,0,0,48,0,18,27,3.38,53.0%,0,2.30,0.000,0,0.230,0,16,0.000,0.0,NA,20.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,48,vs DET,26,·,15.0,-3.2
5,5,12530,Travis Hunter,WR,22.4,JAX,47.0,48,40,9.4,7.9,6.4,1,1,1,58,39,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,48,0,2,0,3,16,64,21.3,21.3,0,0,0,64,0,NA,0,0,67.0%,NA,NA,NA,0,NA,2,3,0.667,2.0,20,12.0%,3.20,0,NA,NA,NA,NA,NA,0.100,NA,64,vs KC,31,·,7.3,2.1
5,5,12481,Cam Skattebo,RB,23.6,NYG,19.0,21,25,14.4,11.4,8.4,1,1,1,73,50,1,0.0%,0,0,0,0,0,0,0.00,59,0,0,0,0.00,0.00,6,-6,0,3,0,7,51,45,7.5,6.4,15,0,4,104,0,51,59,3.93,68.0%,5,3.40,0.333,4,0.673,7,22,0.318,7.0,NA,17.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,104,@ NO,11,·,17.2,-2.8
5,5,11565,J.J. McCarthy,QB,22.7,MIN,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ CLE,24,OUT,OUT,OUT
5,5,9756,Jordan Addison,WR,23.7,MIN,19.0,20,18,15.1,12.6,10.1,1,1,0,65,49,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,30,0,2,1,6,11,41,8.2,6.8,0,0,0,41,0,NA,0,0,75.0%,NA,NA,NA,0,NA,3,6,0.500,3.0,28,17.1%,1.46,0,NA,NA,NA,NA,NA,0.071,NA,41,@ CLE,8,·,9.7,5.4
5,5,12501,Matthew Golden,WR,22.2,GB,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
5,5,3294,Dak Prescott,QB,32.2,DAL,3.0,3,3,28.28,28.28,28.28,1,1,1,60,60,0,62.1%,111,29,18,8,11,0,127.40,265,1,4,237,8.17,13.17,0,0,0,0,0,0,0,0,0.0,0.0,7,0,2,28,0,NA,28,4,100.0%,NA,NA,NA,2,NA,14,36,NA,NA,NA,NA,NA,12,41.4%,2.72,13.8%,36.4%,8.1,NA,33,265,@ NYJ,6,·,20.5,7.8
5,5,5846,DK Metcalf,WR,27.8,PIT,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
5,5,7594,Chuba Hubbard,RB,26.3,CAR,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs MIA,4,OUT,OUT,OUT
5,5,8144,Chris Olave,WR,25.2,NO,28.0,35,45,12.9,9.4,5.9,1,1,1,66,48,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,44,0,3,0,11,15,59,8.4,5.4,0,0,0,59,0,NA,0,0,73.0%,NA,NA,NA,0,NA,3,11,0.273,3.0,30,34.4%,1.97,0,NA,NA,NA,NA,NA,0.100,NA,59,vs NYG,3,·,13.2,-0.3
5,5,11559,Michael Penix Jr.,QB,25.4,ATL,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
5,5,5870,Daniel Jones,QB,28.3,IND,18.0,18,18,16.68,16.68,16.68,1,1,1,66,59,1,69.0%,147,29,20,9,9,0,113.00,214,0,2,212,7.31,10.60,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,2,0,NA,2,2,89.0%,NA,NA,NA,1,NA,12,30,NA,NA,NA,NA,NA,11,37.9%,2.55,6.9%,27.6%,8.2,NA,29,214,vs LV,13,·,19.7,-3.0
5,5,11589,Trey Benson,RB,23.2,ARI,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs TEN,3,IR,IR,IR
5,5,7523,Trevor Lawrence,QB,26.0,JAX,5.0,5,5,27.24,27.24,27.24,1,1,1,58,58,1,72.0%,120,25,18,7,7,1,95.60,275,3,1,221,8.84,12.28,0,0,0,0,0,0,0,0,0.0,0.0,10,1,4,54,2,NA,54,5.4,100.0%,NA,NA,NA,6,NA,14,35,NA,NA,NA,NA,NA,8,32.0%,2.75,8.0%,33.3%,8.1,NA,36,275,vs KC,30,·,18.7,8.5
5,5,9754,Quentin Johnston,WR,24.1,LAC,61.0,63,68,6.9,4.9,2.9,1,1,0,67,55,1,0.0%,0,0,0,0,0,0,0.00,9,0,0,0,0.00,0.00,4,25,0,2,0,4,15,40,10.0,10.0,1,0,0,49,0,NA,9,9,82.0%,NA,NA,NA,0,NA,2,5,0.400,2.0,31,12.1%,1.29,0,NA,NA,NA,NA,NA,0.065,NA,49,vs WAS,10,·,13.8,-6.9
5,5,7543,Travis Etienne,RB,26.7,JAX,30.0,30,31,8.8,7.3,5.8,1,1,1,58,34,0,0.0%,0,0,0,0,0,0,0.00,49,0,0,0,0.00,0.00,3,-2,0,0,0,4,11,9,3.0,2.3,12,0,2,58,0,42,49,4.08,59.0%,2,3.50,0.167,2,0.517,2,16,0.125,2.0,NA,16.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,58,vs KC,22,·,12.8,-4.0
5,5,8408,Jordan Mason,RB,26.4,MIN,22.0,23,22,12.6,11.1,9.6,1,1,1,65,43,1,0.0%,0,0,0,0,0,0,0.00,52,0,0,0,0.00,0.00,3,-17,0,0,0,4,21,4,1.3,1.0,13,0,2,56,1,47,52,4,66.0%,3,3.60,0.231,3,0.591,3,17,0.176,3.0,NA,11.4%,NA,0,NA,NA,NA,NA,NA,NA,NA,56,@ CLE,28,·,15.4,-2.8
5,5,12489,RJ Harvey,RB,24.6,DEN,37.0,41,41,6,4.5,3,1,1,0,74,15,0,0.0%,0,0,0,0,0,0,0.00,12,0,0,0,0.00,0.00,3,6,0,0,0,3,12,18,6.0,6.0,4,0,1,30,0,9,12,3,20.0%,0,2.30,0.000,1,0.230,1,7,0.143,1.0,NA,7.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,30,@ PHI,8,·,9.7,-3.7
5,5,4217,George Kittle,TE,32.0,SF,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ LAR,13,IR,IR,IR
5,5,7526,Jaylen Waddle,WR,26.8,MIA,8.0,4,5,23,20,17,1,1,1,55,49,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,92,1,5,1,9,18,110,18.3,12.2,0,0,0,110,0,NA,0,0,89.0%,NA,NA,NA,0,NA,6,9,0.667,6.0,33,25.0%,3.33,0,NA,NA,NA,NA,NA,0.152,NA,110,@ CAR,29,·,13.7,9.3
5,5,12517,Colston Loveland,TE,21.5,CHI,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
5,5,11637,Keon Coleman,WR,22.4,BUF,43.0,42,42,10.3,8.3,6.3,1,1,0,68,42,1,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,21,0,2,1,7,2,23,5.8,3.3,0,0,0,23,0,NA,0,0,62.0%,NA,NA,NA,0,NA,3,7,0.429,3.0,22,22.6%,1.05,0,NA,NA,NA,NA,NA,0.091,NA,23,vs NE,7,·,10.4,-0.1
5,5,7588,Javonte Williams,RB,25.4,DAL,6.0,4,3,26.9,26.4,25.9,1,1,1,60,46,0,0.0%,0,0,0,0,0,0,0.00,135,0,0,0,0.00,0.00,1,0,0,0,1,2,4,4,4.0,2.0,16,1,5,139,1,93,135,8.44,77.0%,7,5.80,0.438,6,1.018,7,18,0.389,7.0,NA,6.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,139,@ NYJ,9,·,16.0,10.9
5,5,5045,Courtland Sutton,WR,30.0,DEN,16.0,18,22,17.9,13.9,9.9,1,1,1,74,70,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,65,1,5,0,10,34,99,12.4,9.9,0,0,0,99,0,NA,0,0,95.0%,NA,NA,NA,0,NA,5,10,0.500,5.0,41,25.6%,2.41,0,NA,NA,NA,NA,NA,0.122,NA,99,@ PHI,15,·,12.0,5.9
5,5,12506,Harold Fannin,TE,21.2,CLE,15.0,16,16,11.3,9.3,7.3,1,1,1,70,55,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,5,0,1,1,4,8,13,3.3,3.3,0,0,0,13,0,NA,0,0,79.0%,NA,NA,NA,0,NA,2,4,0.500,2.0,18,12.1%,0.72,0,NA,NA,NA,NA,NA,0.056,NA,13,vs MIN,14,·,9.3,2.0
