SLPR_ID,PFF_ID,PLAYER,POS,CFB,HT,WT,40dsh,OVR-RK,POS-RK,GRD,TIER,Gs,tYDS,tTD,OPP,IMP/OPP,REC%,1D,REC,TGT,recTD,recYDS,1D/tgt,YPR,FUM,RR,YPRR,1DRR,TGT%,IMP/RR,tgtQBR,YAC,CTST%,DROP%,AY,CAR,ruYDS,ruTD,ru1D
13325,157298,Jordan Hudson,WR,SMU,NA,NA lbs,NA,NR,NR,NR,NR,53,1812,21,222,0.48,66.1%,85,146,221,21,1804,0.38,12.4,1,934,1.93,0.091,23.7%,0.113,109.6,739,47.8%,5.8%,1065,1,8,0,0
13318,158678,Noah Thomas,WR,GEORGIA,NA,NA lbs,NA,NR,NR,NR,NR,46,1256,19,147,0.54,62.2%,59,89,143,19,1238,0.41,13.9,0,970,1.28,0.061,14.7%,0.080,122.7,446,55.6%,5.3%,792,4,18,0,1
13316,144279,Eric Rivers,WR,GA TECH,"6'0""",176 lbs,4.35,NR,NR,NR,NR,36,2214,16,217,0.51,66.3%,93,138,208,16,2158,0.45,15.6,2,900,2.40,0.103,23.1%,0.121,118.2,799,37%,8.0%,1359,9,56,0,2
13313,163595,Emmanuel Henderson,WR,KANSAS,NA,NA lbs,NA,NR,NR,NR,NR,28,878,5,83,0.43,63.3%,31,50,79,5,862,0.39,17.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,16,0,0
13309,157010,Aaron Anderson,WR,LSU,NA,NA lbs,NA,NR,NR,NR,NR,33,1333,5,155,0.43,68.8%,61,106,154,5,1331,0.40,12.6,1,644,2.07,0.095,23.9%,0.102,98.2,757,40.9%,8.6%,574,1,2,0,0
13304,146913,OMega Blake,WR,ARKANSAS,NA,NA lbs,NA,NR,NR,NR,NR,37,1821,16,181,0.51,61.5%,76,110,179,16,1814,0.42,16.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0,0
13297,158022,Reggie Virgil,WR,TEXAS TECH,NA,NA lbs,NA,NR,NR,NR,NR,43,1618,18,185,0.46,54.6%,65,100,183,16,1583,0.36,15.8,0,908,1.74,0.072,20.2%,0.089,101.4,425,47.5%,8.3%,1158,2,35,2,2
13296,157740,Caleb Douglas,WR,TEXAS TECH,NA,NA lbs,NA,NR,NR,NR,NR,40,2041,16,225,0.46,59.8%,88,134,224,16,2041,0.39,15.2,2,1143,1.79,0.077,19.6%,0.091,108.1,715,37%,8.2%,1326,1,0,0,0
13290,163408,Jalen Moss,WR,ARIZONA ST,NA,NA lbs,NA,NR,NR,NR,NR,34,1547,11,180,0.43,66.5%,66,119,179,11,1541,0.37,12.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,0
13270,123874,CJ Daniels,WR,MIAMI FL,NA,NA lbs,NA,NR,NR,NR,NR,55,2768,25,270,0.55,69.3%,123,187,270,25,2768,0.46,14.8,1,955,2.00,0.088,21.5%,0.155,120.6,687,75.8%,5.2%,1414,0,0,0,0
