WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CMP%OE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
17,4984,Josh Allen,QB,29.4,BUF,6,6,6,23.18,23.18,23.18,1,1,1,76,76,2,65.7,167,35,23,11,12,0,88.0,289,5,0,262,7.49,11.39,0,0,0,0,0,0,0,0,0.0,0.0,7,0,1,27,2,NA,27,3.86,100.0%,NA,NA,NA,3,NA,14,42,NA,NA,NA,NA,NA,11,31.4%,NA,NA,NA,NA,NA,NA,289,NA,NA,vs PHI,27,Q,24.65,-1.5
17,9509,Bijan Robinson,RB,23.7,ATL,2,2,2,39.9,37.4,34.9,1,1,1,53,42,0,0.0,0,0,0,0,0,0,0.0,195,0,0,0,0.00,0.00,5,-8,0,2,1,8,42,34,6.8,4.3,22,1,3,229,1,77,195,8.86,79.0%,12,3.50,0.545,4,0.895,7,30,0.233,7.0,NA,40.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,229,NA,NA,vs LAR,28,·,19.42,20.5
17,7564,Ja'Marr Chase,WR,25.6,CIN,3,3,2,25,21.5,18,1,1,1,77,59,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.00,0.00,7,19,0,2,2,9,41,60,8.6,6.7,0,0,0,60,0,NA,0,0,77.0%,NA,NA,NA,0,NA,4,9,0.444,4.0,34,25.0%,1.76,0,NA,NA,NA,NA,NA,0.059,NA,60,NA,NA,vs ARI,19,·,19.37,5.6
17,9493,Puka Nacua,WR,24.3,LAR,13,14,18,15.7,13.2,10.7,1,1,1,65,48,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.00,0.00,5,23,1,1,1,10,24,47,9.4,4.7,0,0,0,47,0,NA,0,0,74.0%,NA,NA,NA,0,NA,2,10,0.200,2.0,33,26.3%,1.42,0,NA,NA,NA,NA,NA,0.030,NA,47,NA,NA,@ ATL,12,·,23.51,-7.8
17,4881,Lamar Jackson,QB,28.7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ GB,23,OUT,OUT,OUT
17,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs DAL,1,OUT,OUT,OUT
17,9221,Jahmyr Gibbs,RB,23.5,DET,36,37,36,6.4,5.4,4.4,1,1,1,64,44,1,0.0,0,0,0,0,0,0,0.0,41,0,0,0,0.00,0.00,2,3,0,1,0,3,20,23,11.5,7.7,17,1,1,64,0,51,41,2.41,69.0%,6,3.00,0.353,1,0.653,2,20,0.100,2.0,NA,10.3%,NA,0,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,@ MIN,19,·,21.96,-15.6
17,6794,Justin Jefferson,WR,26.3,MIN,52,52,62,7,5,3,1,1,1,54,53,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.00,0.00,4,15,0,1,0,5,15,30,7.5,6.0,0,0,0,30,0,NA,0,0,98.0%,NA,NA,NA,0,NA,1,5,0.200,1.0,25,31.3%,1.20,0,NA,NA,NA,NA,NA,0.040,NA,30,NA,NA,vs DET,2,·,13.04,-6.0
17,9488,Jaxon Smith-Njigba,WR,23.6,SEA,12.0,22,29,16.2,11.7,7.2,1,1,1,66,59,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.00,0.00,9,57,1,3,0,12,15,72,8.0,6.0,0,0,0,72,0,NA,0,0,89.0%,NA,NA,NA,0,NA,3,12,0.250,3.0,31,44.4%,2.32,0,NA,NA,NA,NA,NA,0.097,NA,72,NA,NA,@ CAR,21,·,22.13,-5.9
17,7547,Amon-Ra St. Brown,WR,25.9,DET,16.0,27,31,14.8,10.8,6.8,1,1,1,64,53,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.00,0.00,8,52,1,5,0,13,16,68,8.5,5.2,0,0,0,68,0,NA,0,0,83.0%,NA,NA,NA,0,NA,5,13,0.385,5.0,31,44.8%,2.19,0,NA,NA,NA,NA,NA,0.161,NA,68,NA,NA,@ MIN,32,Q,18.97,-4.2
