WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CPOE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
14,10857,Stetson Bennett,QB,27.9,LAR,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ ARI,23,·,·,·
14,6144,Trayveon Williams,RB,27.9,FA,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,,·,·,·
14,12473,Mitchell Evans,TE,22.5,CAR,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,BYE,BYE,BYE,BYE,BYE
14,5374,Justin Watson,WR,29.5,HOU,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ KC,20,IR,IR,IR
14,10223,Eric Gray,RB,25.9,NYG,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,BYE,BYE,BYE,BYE,BYE
14,6012,Travis Homer,RB,27.1,CHI,999.0,999,999,0,0,0,1,0,0,70,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ GB,24,·,0.1,-0.1
14,3202,Austin Hooper,TE,30.9,NE,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,BYE,BYE,BYE,BYE,BYE
14,4972,Mason Rudolph,QB,30.2,PIT,999.0,999,999,0,0,0,1,0,0,52,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ BAL,13,·,·,·
14,9489,Justin Shorter,WR,25.4,LV,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs DEN,30,·,·,·
14,8219,Jelani Woods,TE,27.0,NYJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs MIA,3,OUT,OUT,OUT
14,7535,Hunter Long,TE,27.1,JAX,999.0,999,999,0,0,0,1,1,0,64,20,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,31.0%,NA,NA,NA,0,NA,0,0,NA,0.0,7,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,vs IND,4,·,1.6,-1.6
14,9495,Rakim Jarrett,WR,24.7,FA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,,·,·,·
14,12048,George Holani,RB,25.8,SEA,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ ATL,10,IR,IR,IR
14,7757,Ben Skowronek,WR,28.2,PIT,83.0,82,79,2.3,1.8,1.3,1,1,0,52,9,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,13,0,1,0,1,0,13,13.0,13.0,0,0,0,13,0,NA,0,0,17.0%,NA,NA,NA,0,NA,1,1,1.000,1.0,3,2.9%,4.33,0,NA,NA,NA,NA,NA,0.333,NA,13,NA,NA,@ BAL,10,·,1.4,0.9
14,6427,Ashton Dulin,WR,28.4,IND,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ JAX,15,IR,IR,IR
14,6001,Drew Sample,TE,29.4,CIN,999.0,999,999,0,0,0,1,1,0,60,27,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,45.0%,NA,NA,NA,0,NA,0,0,NA,0.0,5,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,@ BUF,32,·,1.2,-1.2
14,8116,Pierre Strong Jr.,RB,26.8,GB,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs CHI,17,·,·,·
14,6847,Devin Duvernay,WR,28.0,CHI,73.0,66,61,3.4,2.9,2.4,1,1,0,70,1,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,24,0,1,0,1,0,24,24.0,24.0,0,0,0,24,0,NA,0,0,1.0%,NA,NA,NA,0,NA,1,1,1.000,1.0,1,2.9%,24.00,0,NA,NA,NA,NA,NA,1.000,NA,24,NA,NA,@ GB,21,·,1.3,2.1
14,11716,Tip Reiman,TE,24.0,ARI,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs LAR,19,IR,IR,IR
14,7602,Kylen Granson,TE,27.5,PHI,999.0,999,999,0,0,0,1,1,0,71,2,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,3.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ LAC,26,·,0.5,-0.5
14,2749,Raheem Mostert,RB,33.5,LV,64.0,67,71,1.2,0.7,0.2,1,1,0,50,15,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,-2,0,0,0,1,4,2,2.0,2.0,0,0,0,2,0,0,0,0,30.0%,0,0.00,NA,0,NA,0,1,0.000,0.0,NA,3.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,vs DEN,27,·,2.3,-1.1
14,8127,Charlie Kolar,TE,26.6,BAL,35.0,34,29,2.9,2.4,1.9,1,1,0,80,19,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,15,0,1,0,1,4,19,19.0,19.0,0,0,0,19,0,NA,0,0,24.0%,NA,NA,NA,0,NA,1,1,1.000,1.0,5,2.9%,3.80,0,NA,NA,NA,NA,NA,0.200,NA,19,NA,NA,vs PIT,6,·,2.6,0.3
14,7585,Davis Mills,QB,26.9,HOU,999.0,999,999,0,0,0,1,0,0,70,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ KC,18,·,·,·
14,6290,Scotty Miller,WR,28.2,PIT,999.0,999,999,0,0,0,1,1,0,52,3,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,6.0%,NA,NA,NA,0,NA,0,0,NA,0.0,1,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,@ BAL,10,·,0.4,-0.4
14,10228,Charlie Jones,WR,26.9,CIN,999.0,999,999,0,0,0,1,1,0,60,2,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,3.0%,NA,NA,NA,0,NA,0,0,NA,0.0,2,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,@ BUF,22,·,0.2,-0.2
14,6659,Craig Reynolds,RB,29.3,DET,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs DAL,15,·,·,·
14,4574,Cooper Rush,QB,31.8,BAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs PIT,7,OUT,OUT,OUT
14,4663,Austin Ekeler,RB,30.4,WAS,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ MIN,19,IR,IR,IR
14,8489,Andrew Ogletree,TE,27.2,IND,999.0,999,999,0,0,0,1,1,1,70,13,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,19.0%,NA,NA,NA,0,NA,0,0,NA,0.0,2,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,@ JAX,2,·,0.5,-0.5
14,8159,Desmond Ridder,QB,26.1,MIN,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs WAS,6,·,·,·
14,8253,Deven Thompkins,WR,25.8,ATL,95.0,95,95,1.4,0.9,0.4,1,1,0,64,6,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,-4,0,0,0,1,8,4,4.0,4.0,0,0,0,4,0,NA,0,0,9.0%,NA,NA,NA,0,NA,0,1,0.000,0.0,4,3.3%,1.00,0,NA,NA,NA,NA,NA,0.000,NA,4,NA,NA,vs SEA,12,·,2.1,-0.7
14,12725,Luke Lachey,TE,24.2,HOU,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ KC,27,·,·,·
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,,·,·,·
