WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
12,4984,Josh Allen,QB,29.4,BUF,22,22,22,10.12,10.12,10.12,1,1,1,66,66,0,70.6,73,34,24,9,10,2,67.40,273,8,0,253,7.44,10.54,0,0,0,0,0,0,0,0,0.0,0.0,5,0,2,20,0,NA,20,4,100.0%,NA,NA,NA,2,NA,11,39,NA,NA,NA,NA,NA,9,26.5%,2.55,2.9%,33.3%,5.10,NA,45,273,@ HOU,32,·,25.9,-15.8
12,9509,Bijan Robinson,RB,23.7,ATL,14,14,14,14.7,13.7,12.7,1,1,1,56,37,0,0.0,0,0,0,0,0,0,0.00,70,0,0,0,0.00,0.00,2,-10,0,1,0,2,47,37,18.5,18.5,14,1,2,107,0,49,70,5,66.1%,6,3.50,0.429,2,0.779,3,16,0.188,3.0,NA,8.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,107,@ NO,15,·,20.9,
12,7564,Ja'Marr Chase,WR,25.6,CIN,999,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs NE,14,SUS,SUS,
12,9493,Puka Nacua,WR,24.3,LAR,15,16,20,16.7,13.2,9.7,1,1,1,56,46,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,59,0,5,0,11,38,97,13.9,8.8,0,0,0,97,0,NA,0,0,82.1%,NA,NA,NA,0,NA,5,11,0.455,5.0,30,31.4%,3.23,0,NA,NA,NA,NA,NA,0.167,NA,97,vs TB,12,·,19.8,
12,4881,Lamar Jackson,QB,28.7,BAL,25,25,25,7.22,7.22,7.22,1,1,1,63,63,1,56.5,102,23,13,7,10,0,76.90,164,1,0,153,6.65,11.77,0,0,0,0,0,0,0,0,0.0,0.0,7,0,0,11,0,NA,11,1.57,100.0%,NA,NA,NA,0,NA,7,30,NA,NA,NA,NA,NA,7,30.4%,3.12,21.7%,24.1%,10.90,NA,29,164,vs NYJ,11,·,24.5,
12,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,
12,9221,Jahmyr Gibbs,RB,23.5,DET,1,1,1,55.4,49.9,44.4,1,1,1,68,50,0,0.0,0,0,0,0,0,0,0.00,219,0,0,0,0.00,0.00,11,-13,0,2,1,12,58,45,4.1,3.8,15,1,5,264,2,125,219,14.6,73.5%,7,8.30,0.467,7,1.297,10,27,0.370,10.0,NA,28.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,264,vs NYG,3,·,22.4,
12,6794,Justin Jefferson,WR,26.3,MIN,37,39,42,8.8,6.8,4.8,1,1,1,44,44,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,39,0,2,0,6,9,48,12.0,8.0,0,0,0,48,0,NA,0,0,100.0%,NA,NA,NA,0,NA,2,6,0.333,2.0,24,31.6%,2.00,0,NA,NA,NA,NA,NA,0.083,NA,48,@ GB,23,·,15.5,
12,9488,Jaxon Smith-Njigba,WR,23.6,SEA,1.0,1,1,37.1,33.1,29.1,1,1,1,48,38,0,0.0,0,0,0,0,0,0,0.00,4,0,0,0,0.00,0.00,8,111,1,3,2,10,56,167,20.9,16.7,1,0,0,171,0,NA,4,4,79.2%,NA,NA,NA,0,NA,5,11,0.455,5.0,26,38.5%,6.42,0,NA,NA,NA,NA,NA,0.115,NA,171,@ TEN,8,·,20.4,
12,7547,Amon-Ra St. Brown,WR,25.9,DET,3.0,3,3,29.9,25.4,20.9,1,1,1,68,66,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,9,96,2,6,1,13,53,149,16.6,11.5,0,0,0,149,0,NA,0,0,97.1%,NA,NA,NA,0,NA,7,13,0.538,7.0,41,31.0%,3.63,0,NA,NA,NA,NA,NA,0.146,NA,149,vs NYG,6,·,19.4,
