WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
11,4984,Josh Allen,QB,29.4,BUF,1,1,1,44.68,44.68,44.68,1,1,1,56,56,0,63.3,163,30,19,10,11,2,104.40,357,0,3,317,10.57,16.68,0,0,0,0,0,0,0,0,0.0,0.0,6,0,1,40,3,NA,40,6.67,100.0%,NA,NA,NA,4,NA,17,36,NA,NA,NA,NA,NA,13,43.3%,2.89,10.0%,34.4%,10.70,NA,32.00,357,vs TB,15,·,25.1,19.6
11,9509,Bijan Robinson,RB,23.7,ATL,4,4,4,30.3,28.3,26.3,1,1,1,66,56,0,0.0,0,0,0,0,0,0,0.00,104,0,0,0,0.00,0.00,4,-4,0,3,0,5,43,39,9.8,7.8,23,2,4,143,2,94,104,4.52,85.0%,5,4.10,0.217,6,0.627,9,28,0.321,9.0,NA,16.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,143,vs CAR,18,·,20.9,9.4
11,7564,Ja'Marr Chase,WR,25.6,CIN,56,56,57,6,4.5,3,1,1,1,66,64,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,13,0,2,0,10,17,30,10.0,3.0,0,0,0,30,0,NA,0,0,97.0%,NA,NA,NA,0,NA,2,10,0.200,2.0,40,25.0%,0.75,0,NA,NA,NA,NA,NA,0.050,NA,30,@ PIT,2,·,19.5,-13.5
11,9493,Puka Nacua,WR,24.3,LAR,17,18,24,14.3,10.8,7.3,1,1,1,51,34,1,0.0,0,0,0,0,0,0,0.00,18,0,0,0,0.00,0.00,7,51,0,3,0,8,24,75,10.7,9.4,2,0,1,93,0,NA,18,9,67.0%,NA,NA,NA,1,NA,4,10,0.400,4.0,20,28.6%,3.75,0,NA,NA,NA,NA,NA,0.150,NA,93,vs SEA,12,·,21.3,-7.0
11,4881,Lamar Jackson,QB,28.7,BAL,29,29,29,6.72,6.72,6.72,1,1,1,61,61,0,56.0,87,25,14,9,11,2,47.60,203,5,0,193,7.72,13.79,0,0,0,0,0,0,0,0,0.0,0.0,4,0,1,10,0,NA,10,2.5,100.0%,NA,NA,NA,1,NA,10,29,NA,NA,NA,NA,NA,9,36.0%,2.86,4.0%,38.7%,7.90,NA,31.00,203,@ CLE,28,·,22.8,-16.1
11,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ MIA,8,OUT,OUT,OUT
11,9221,Jahmyr Gibbs,RB,23.5,DET,10,12,13,19.6,17.1,14.6,1,1,1,59,43,0,0.0,0,0,0,0,0,0,0.00,39,0,0,0,0.00,0.00,5,-13,1,5,0,8,120,107,21.4,13.4,12,1,2,146,0,40,39,3.25,73.0%,3,3.30,0.250,2,0.580,7,20,0.350,7.0,NA,21.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,146,@ PHI,11,·,19.2,0.4
11,6794,Justin Jefferson,WR,26.3,MIN,26,27,31,11.1,8.6,6.1,1,1,1,55,55,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,32,0,3,0,9,29,61,12.2,6.8,0,0,0,61,0,NA,0,0,100.0%,NA,NA,NA,0,NA,3,9,0.333,3.0,32,28.1%,1.91,0,NA,NA,NA,NA,NA,0.094,NA,61,vs CHI,4,·,17.4,-6.3
11,9488,Jaxon Smith-Njigba,WR,23.6,SEA,7.0,10,14,20.6,16.1,11.6,1,1,1,84,70,0,0.0,0,0,0,0,0,0,0.00,11,0,0,0,0.00,0.00,9,76,0,7,0,12,29,105,11.7,8.8,1,1,1,116,0,NA,11,11,83.0%,NA,NA,NA,1,NA,8,13,0.615,8.0,42,27.3%,2.50,0,NA,NA,NA,NA,NA,0.167,NA,116,@ LAR,17,·,21.3,-0.7
11,7547,Amon-Ra St. Brown,WR,25.9,DET,53.0,51,45,6.2,5.2,4.2,1,1,1,59,57,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,25,0,1,0,12,17,42,21.0,3.5,0,0,0,42,0,NA,0,0,97.0%,NA,NA,NA,0,NA,1,12,0.083,1.0,38,32.4%,1.11,0,NA,NA,NA,NA,NA,0.026,NA,42,@ PHI,22,·,21.1,-14.9
11,6786,CeeDee Lamb,WR,26.5,DAL,14.0,13,11,17.6,15.1,12.6,1,1,0,67,49,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,54,1,3,1,7,12,66,13.2,9.4,0,0,0,66,0,NA,0,0,73.0%,NA,NA,NA,0,NA,4,7,0.571,4.0,32,21.2%,2.06,0,NA,NA,NA,NA,NA,0.094,NA,66,@ LV,6,·,20.7,-3.1
11,11632,Malik Nabers,WR,22.2,NYG,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs GB,21,IR,IR,IR
11,11564,Drake Maye,QB,23.1,NE,12.0,12,12,15.44,15.44,15.44,1,1,1,67,67,0,73.5,187,34,25,15,9,0,107.60,283,1,1,281,8.26,11.24,0,0,0,0,0,0,0,0,0.0,0.0,4,0,0,2,0,NA,2,0.5,100.0%,NA,NA,NA,0,NA,16,38,NA,NA,NA,NA,NA,16,47.1%,3.12,11.8%,35.1%,10.90,NA,37.00,283,vs NYJ,10,·,23.0,-7.6
11,12514,Emeka Egbuka,WR,23.0,TB,39.0,44,48,9,6.5,4,1,1,1,70,66,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,16,1,1,0,9,24,40,8.0,4.4,0,0,0,40,0,NA,0,0,94.0%,NA,NA,NA,0,NA,1,9,0.111,1.0,29,32.1%,1.38,0,NA,NA,NA,NA,NA,0.034,NA,40,@ BUF,19,·,15.0,-6.0
11,11604,Brock Bowers,TE,22.8,LV,6.0,6,7,14.2,10.7,7.2,1,1,1,60,58,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,59,1,3,0,12,13,72,10.3,6.0,0,0,0,72,0,NA,0,0,97.0%,NA,NA,NA,0,NA,3,12,0.250,3.0,46,28.6%,1.57,0,NA,NA,NA,NA,NA,0.065,NA,72,vs DAL,15,·,19.4,-5.2
11,6904,Jalen Hurts,QB,27.1,PHI,13.0,13,13,14.5,14.5,14.5,1,1,1,72,72,1,50.0,95,28,14,6,14,0,63.80,166,1,0,135,4.82,9.64,0,0,0,0,0,0,0,0,0.0,0.0,10,0,2,31,1,NA,31,3.1,100.0%,NA,NA,NA,3,NA,9,38,NA,NA,NA,NA,NA,6,21.4%,2.74,21.4%,19.4%,12.60,NA,31.00,166,vs DET,11,·,24.1,-9.6
11,12527,Ashton Jeanty,RB,21.8,LV,30.0,37,45,9.4,6.4,3.4,1,1,1,60,44,0,0.0,0,0,0,0,0,0,0.00,7,0,0,0,0.00,0.00,6,-26,1,1,0,8,53,27,4.5,3.4,6,0,2,34,0,13,7,1.17,73.0%,0,2.20,0.000,2,0.220,3,14,0.214,3.0,NA,19.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,34,vs DAL,5,·,17.3,-7.9
11,6797,Justin Herbert,QB,27.6,LAC,31.0,31,31,4.34,4.34,4.34,1,1,1,48,35,0,55.6,29,18,10,3,8,1,44.00,102,2,0,81,4.50,8.10,0,0,0,0,0,0,0,0,0.0,0.0,3,0,1,21,0,NA,21,7,73.0%,NA,NA,NA,1,NA,4,21,NA,NA,NA,NA,NA,3,16.7%,2.85,11.1%,52.2%,5.30,NA,23.00,102,@ JAX,2,·,23.1,-18.8
11,6813,Jonathan Taylor,RB,26.7,IND,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
