WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
5,4984,Josh Allen,QB,29.4,BUF,12,12,12,20.42,20.42,20.42,1,1,1,68,68,1,71.0%,154,31,22,14,9,1,103.30,306,1,2,253,8.16,11.50,0,0,0,0,0,0,0,0,0.0,0.0,9,1,3,53,0,NA,53,5.89,100.0%,NA,NA,NA,3,NA,19,40,NA,NA,NA,NA,NA,16,51.6%,3.27,9.7%,25.6%,8.6,NA,39,306,vs NE,12,·,25.3,-4.9
5,4881,Lamar Jackson,QB,28.7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs HOU,32,OUT,OUT,OUT
5,7564,Ja'Marr Chase,WR,25.6,CIN,2,2,2,29,26,23,1,1,1,62,57,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,76,0,2,2,10,34,110,18.3,11.0,0,0,0,110,0,NA,0,0,91.9%,NA,NA,NA,0,NA,4,10,0.400,4.0,39,25.0%,2.82,0,NA,NA,NA,NA,NA,0.051,NA,110,vs DET,6,·,16.0,13.0
5,9509,Bijan Robinson,RB,23.7,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
5,11566,Jayden Daniels,QB,24.8,WAS,17,17,17,17.14,17.14,17.14,1,1,1,59,59,0,57.7%,121,26,15,8,11,0,100.00,270,1,1,231,8.88,15.40,0,0,0,0,0,0,0,0,0.0,0.0,8,1,2,39,0,NA,39,4.88,100.0%,NA,NA,NA,2,NA,11,34,NA,NA,NA,NA,NA,9,34.6%,2.92,15.4%,34.4%,10.1,NA,32,270,@ LAC,18,·,21.6,-4.5
5,9221,Jahmyr Gibbs,RB,23.5,DET,13,12,11,16.7,15.7,14.7,1,1,1,62,32,0,0.0%,0,0,0,0,0,0,0.00,54,0,0,0,0.00,0.00,2,-1,0,1,1,2,34,33,16.5,16.5,12,1,3,87,0,29,54,4.5,51.6%,1,2.40,0.083,3,0.323,5,14,0.357,5.0,NA,8.3%,NA,0,NA,NA,NA,NA,NA,NA,NA,87,@ CIN,1,·,19.4,-2.7
5,11632,Malik Nabers,WR,22.2,NYG,999,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ NO,19,IR,IR,IR
5,6794,Justin Jefferson,WR,26.3,MIN,11,11,14,19.3,15.8,12.3,1,1,1,65,65,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,83,0,6,0,11,40,123,17.6,11.2,0,0,0,123,0,NA,0,0,100.0%,NA,NA,NA,0,NA,6,11,0.545,6.0,38,31.4%,3.24,0,NA,NA,NA,NA,NA,0.158,NA,123,@ CLE,8,·,14.9,4.4
5,9493,Puka Nacua,WR,24.3,LAR,5.0,7,8,24.5,19.5,14.5,1,1,1,68,63,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,10,41,0,4,1,12,44,85,8.5,7.1,0,0,0,85,0,NA,0,0,92.6%,NA,NA,NA,0,NA,5,12,0.417,5.0,43,25.5%,1.98,0,NA,NA,NA,NA,NA,0.093,NA,85,vs SF,18,·,20.8,3.7
5,7547,Amon-Ra St. Brown,WR,25.9,DET,15.0,16,19,18,14,10,1,1,1,62,50,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,41,0,5,0,9,59,100,12.5,11.1,0,0,0,100,0,NA,0,0,80.6%,NA,NA,NA,0,NA,5,9,0.556,5.0,25,37.5%,4.00,0,NA,NA,NA,NA,NA,0.200,NA,100,@ CIN,11,·,17.6,0.4
