WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
9,4984,Josh Allen,QB,29.4,BUF,3,3,3,28.82,28.82,28.82,1,1,1,66,66,0,88.5,104,26,23,12,3,0,123.20,292,3,1,273,10.50,11.87,0,0,0,0,0,0,0,0,0.0,0.0,6,0,2,19,2,NA,19,3.17,100.0%,NA,NA,NA,4,NA,17,32,NA,NA,NA,NA,NA,13,50.0%,2.64,11.5%,26.7%,4.60,NA,30,292,vs KC,28,·,24.7,4.1
9,9509,Bijan Robinson,RB,23.7,ATL,7,12,20,17.6,13.6,9.6,1,1,1,56,54,0,0.0,0,0,0,0,0,0,0.00,46,0,0,0,0.00,0.00,8,16,0,3,0,10,34,50,6.3,5.0,12,1,2,96,0,35,46,3.83,96.4%,1,2.90,0.083,2,0.373,5,22,0.227,5.0,NA,27.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,96,@ NE,28,·,19.1,-1.5
9,7564,Ja'Marr Chase,WR,25.6,CIN,16,17,18,17.1,14.1,11.1,1,1,1,68,67,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,63,0,6,0,8,48,111,18.5,13.9,0,0,0,111,0,NA,0,0,98.5%,NA,NA,NA,0,NA,6,8,0.750,6.0,50,17.0%,2.22,0,NA,NA,NA,NA,NA,0.120,NA,111,vs CHI,11,·,20.8,-3.7
9,9493,Puka Nacua,WR,24.3,LAR,5,5,7,22.8,19.3,15.8,1,1,1,80,39,0,0.0,0,0,0,0,0,0,0.00,3,0,0,0,0.00,0.00,7,72,0,1,1,8,23,95,13.6,11.9,1,0,1,98,0,NA,3,3,48.8%,NA,NA,NA,1,NA,3,9,0.333,3.0,22,25.0%,4.32,0,NA,NA,NA,NA,NA,0.045,NA,98,vs NO,22,Q,21.1,1.7
9,4881,Lamar Jackson,QB,28.7,BAL,9,9,9,25.56,25.56,25.56,1,1,1,56,56,0,78.3,113,23,18,7,5,0,143.20,218,2,4,204,8.87,11.33,0,0,0,0,0,0,0,0,0.0,0.0,5,0,1,14,0,NA,14,2.8,100.0%,NA,NA,NA,1,NA,12,28,NA,NA,NA,NA,NA,11,47.8%,3.04,17.4%,37.0%,8.90,NA,27,218,@ MIA,3,·,24.4,1.2
9,11566,Jayden Daniels,QB,24.8,WAS,19,19,19,16.22,16.22,16.22,1,1,1,65,57,0,72.7,82,22,16,8,6,1,72.70,204,4,0,153,6.95,9.56,0,0,0,0,0,0,0,0,0.0,0.0,10,2,1,51,1,NA,51,5.1,87.7%,NA,NA,NA,2,NA,10,32,NA,NA,NA,NA,NA,8,36.4%,2.78,4.5%,50.0%,5.80,NA,34,204,vs SEA,21,Q,20.8,-4.6
9,9221,Jahmyr Gibbs,RB,23.5,DET,36,40,43,5.8,4.3,2.8,1,1,1,64,42,0,0.0,0,0,0,0,0,0,0.00,25,0,0,0,0.00,0.00,3,-12,0,0,0,3,15,3,1.0,1.0,9,0,0,28,0,20,25,2.78,65.6%,1,2.20,0.111,0,0.331,0,12,0.000,0.0,NA,8.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,28,vs MIN,21,·,20.4,-14.6
9,6794,Justin Jefferson,WR,26.3,MIN,18,18,19,16.7,13.7,10.7,1,1,1,62,59,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,35,0,2,1,9,12,47,7.8,5.2,0,0,0,47,0,NA,0,0,95.2%,NA,NA,NA,0,NA,3,9,0.333,3.0,29,36.0%,1.62,0,NA,NA,NA,NA,NA,0.069,NA,47,@ DET,7,·,16.1,0.6
9,9488,Jaxon Smith-Njigba,WR,23.6,SEA,7.0,9,10,22,18,14,1,1,1,51,34,0,0.0,0,0,0,0,0,0,0.00,11,0,0,0,0.00,0.00,8,82,0,5,0,9,47,129,16.1,14.3,1,0,1,140,0,NA,11,11,66.7%,NA,NA,NA,1,NA,6,10,0.600,6.0,23,37.5%,5.61,0,NA,NA,NA,NA,NA,0.217,NA,140,@ WAS,9,·,22.5,-0.5
9,7547,Amon-Ra St. Brown,WR,25.9,DET,11.0,16,22,18.7,14.2,9.7,1,1,1,64,61,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,9,75,1,2,0,13,22,97,10.8,7.5,0,0,0,97,0,NA,0,0,95.3%,NA,NA,NA,0,NA,2,13,0.154,2.0,41,35.1%,2.37,0,NA,NA,NA,NA,NA,0.049,NA,97,vs MIN,25,·,19.7,-1.0
9,6786,CeeDee Lamb,WR,26.5,DAL,22.0,25,27,15.5,12,8.5,1,1,1,67,59,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,55,0,3,0,12,30,85,12.1,7.1,0,0,0,85,0,NA,0,0,88.1%,NA,NA,NA,0,NA,3,12,0.250,3.0,41,30.8%,2.07,0,NA,NA,NA,NA,NA,0.073,NA,85,vs ARI,23,·,20.3,-4.8
9,11632,Malik Nabers,WR,22.2,NYG,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs SF,17,IR,IR,IR
9,11564,Drake Maye,QB,23.1,NE,16.0,16,16,17.36,17.36,17.36,1,1,1,68,68,2,65.5,148,29,19,12,10,1,102.50,279,6,2,259,8.93,13.63,0,0,0,0,0,0,0,0,0.0,0.0,8,0,2,20,0,NA,20,2.5,100.0%,NA,NA,NA,2,NA,16,37,NA,NA,NA,NA,NA,14,48.3%,2.96,17.2%,42.5%,9.70,NA,40,279,vs ATL,29,·,23.5,-6.1
9,12514,Emeka Egbuka,WR,23.0,TB,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
9,11604,Brock Bowers,TE,22.8,LV,1.0,1,1,43.3,37.3,31.3,1,1,1,64,52,0,0.0,0,0,0,0,0,0,0.00,6,0,0,0,0.00,0.00,12,69,0,4,3,13,58,127,10.6,9.8,1,0,0,133,0,NA,6,6,81.3%,NA,NA,NA,0,NA,7,14,0.500,7.0,34,33.3%,3.74,0,NA,NA,NA,NA,NA,0.118,NA,133,vs JAX,14,·,13.6,29.7
9,6904,Jalen Hurts,QB,27.1,PHI,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
9,12527,Ashton Jeanty,RB,21.8,LV,5.0,5,6,19.9,17.4,14.9,1,1,1,64,58,0,0.0,0,0,0,0,0,0,0.00,42,0,0,0,0.00,0.00,5,-19,0,2,1,5,66,47,9.4,9.4,13,1,3,89,0,39,42,3.23,90.6%,9,3.00,0.692,3,0.992,6,18,0.333,6.0,NA,12.8%,NA,0,NA,NA,NA,NA,NA,NA,NA,89,vs JAX,25,·,16.4,3.5
9,6797,Justin Herbert,QB,27.6,LAC,4.0,4,4,28.7,28.7,28.7,1,1,1,65,65,0,65.5,146,29,19,10,10,1,101.20,307,6,2,250,8.62,13.16,0,0,0,0,0,0,0,0,0.0,0.0,9,0,5,57,1,NA,57,6.33,100.0%,NA,NA,NA,6,NA,18,38,NA,NA,NA,NA,NA,12,41.4%,2.95,17.2%,42.5%,10.60,NA,40,307,@ TEN,22,·,22.1,6.6
9,6813,Jonathan Taylor,RB,26.7,IND,29.0,30,32,7.7,6.7,5.7,1,1,1,78,62,0,0.0,0,0,0,0,0,0,0.00,45,0,0,0,0.00,0.00,2,5,0,0,0,2,7,12,6.0,6.0,14,3,3,57,0,53,45,3.21,79.5%,7,3.80,0.500,3,0.880,3,16,0.188,3.0,NA,4.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,57,@ PIT,20,·,22.4,-14.7
9,8112,Drake London,WR,24.2,ATL,1.0,1,1,38.8,34.3,29.8,1,1,1,56,55,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,9,103,0,5,3,14,15,118,13.1,8.4,0,0,0,118,0,NA,0,0,98.2%,NA,NA,NA,0,NA,8,14,0.571,8.0,38,37.8%,3.11,0,NA,NA,NA,NA,NA,0.132,NA,118,@ NE,19,·,15.3,23.5
