SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
3,7547,Amon-Ra St. Brown,WR,25.9,DET,7.0,9,9,20.7,17.2,13.7,1,1,1,68,58,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,64,0,4,1,8,13,77,11.0,9.6,0,0,0,77,0,NA,0,0,85.0%,NA,NA,NA,0,NA,5,8,0.625,5.0,28,28.6%,2.75,0,NA,NA,NA,NA,NA,0.143,NA,77,@ BAL,2,·,18.1,2.6
3,6797,Justin Herbert,QB,27.5,LAC,12.0,12,12,15.6,15.6,15.6,1,1,1,86,86,0,59.6%,165,47,28,16,19,1,76.60,306,5,1,300,6.38,10.71,0,0,0,0,0,0,0,0,0.0,0.0,2,0,1,6,0,NA,6,3,100.0%,NA,NA,NA,1,NA,18,49,NA,NA,NA,NA,NA,17,36.2%,2.96,6.4%,54.7%,8.4,NA,53,306,vs DEN,29,·,21.1,-5.5
3,9488,Jaxon Smith-Njigba,WR,23.6,SEA,8.0,7,5,20.6,18.1,15.6,1,1,1,57,28,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,75,0,3,1,6,21,96,19.2,16.0,0,0,0,96,0,NA,0,0,49.0%,NA,NA,NA,0,NA,4,6,0.667,4.0,16,28.6%,6.00,0,NA,NA,NA,NA,NA,0.188,NA,96,vs NO,19,·,18.5,2.1
3,6770,Joe Burrow,QB,28.8,CIN,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ MIN,28,IR,IR,IR
3,12527,Ashton Jeanty,RB,21.8,LV,41.0,35,31,6.3,6.3,6.3,1,1,1,66,40,0,0.0%,0,0,0,0,0,0,0.00,63,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,17,6,3,63,0,34,63,3.71,61.0%,3,2.00,0.176,3,0.376,3,17,0.176,3.0,NA,0.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,63,@ WAS,21,·,15.0,-8.7
3,4866,Saquon Barkley,RB,28.6,PHI,30.0,31,33,9.5,7.5,5.5,1,1,1,67,63,0,0.0%,0,0,0,0,0,0,0.00,46,0,0,0,0.00,0.00,4,0,0,0,0,5,9,9,2.3,1.8,18,0,3,55,0,40,46,2.56,94.0%,3,2.20,0.167,3,0.387,3,23,0.130,3.0,NA,15.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,55,vs LAR,30,Q,19.5,-10.0
3,8130,Trey McBride,TE,25.8,ARI,6.0,6,5,15.3,12.8,10.3,1,1,1,66,58,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,16,0,1,1,8,27,43,8.6,5.4,0,0,0,43,0,NA,0,0,88.0%,NA,NA,NA,0,NA,2,8,0.250,2.0,31,22.9%,1.39,0,NA,NA,NA,NA,NA,0.032,NA,43,@ SF,3,·,16.1,-0.8
3,11631,Brian Thomas Jr.,WR,23.0,JAX,50.0,42,41,7.5,6.5,5.5,1,1,1,70,57,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,23,1,2,0,6,32,55,27.5,9.2,0,0,0,55,0,NA,0,0,81.0%,NA,NA,NA,0,NA,2,6,0.333,2.0,34,15.0%,1.62,0,NA,NA,NA,NA,NA,0.059,NA,55,vs HOU,26,·,15.8,-8.3
3,8112,Drake London,WR,24.2,ATL,35.0,38,43,10.5,8,5.5,1,1,1,66,57,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,41,0,3,0,8,14,55,11.0,6.9,0,0,0,55,0,NA,0,0,86.0%,NA,NA,NA,0,NA,3,8,0.375,3.0,41,18.6%,1.34,0,NA,NA,NA,NA,NA,0.073,NA,55,@ CAR,29,·,15.0,-4.5
3,11564,Drake Maye,QB,23.1,NE,7.0,7,7,20.22,20.22,20.22,1,1,1,74,74,1,75.7%,159,37,28,11,9,1,102.10,313,5,2,268,7.24,9.57,0,0,0,0,0,0,0,0,0.0,0.0,7,1,5,45,0,NA,45,6.43,100.0%,NA,NA,NA,5,NA,18,44,NA,NA,NA,NA,NA,13,35.1%,2.65,2.7%,40.4%,6.2,NA,47,313,vs PIT,9,·,20.1,0.1
3,12514,Emeka Egbuka,WR,22.9,TB,25.0,26,30,14.5,11.5,8.5,1,1,1,72,46,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,64,1,4,0,8,21,85,14.2,10.6,0,0,0,85,0,NA,0,0,64.0%,NA,NA,NA,0,NA,4,8,0.500,4.0,21,27.6%,4.05,0,NA,NA,NA,NA,NA,0.190,NA,85,vs NYJ,13,·,11.2,3.3
3,7569,Nico Collins,WR,26.5,HOU,6.0,5,7,22.4,18.4,14.4,1,1,1,63,54,1,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,70,0,2,1,11,34,104,13.0,9.5,0,0,0,104,0,NA,0,0,86.0%,NA,NA,NA,0,NA,3,11,0.273,3.0,34,28.9%,3.06,0,NA,NA,NA,NA,NA,0.059,NA,104,@ JAX,24,·,17.4,5.0
3,12526,Tetairoa McMillan,WR,22.5,CAR,47.0,45,44,7.8,6.3,4.8,1,1,1,58,52,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,33,1,3,0,8,15,48,16.0,6.0,0,0,0,48,0,NA,0,0,90.0%,NA,NA,NA,0,NA,3,8,0.375,3.0,24,33.3%,2.00,0,NA,NA,NA,NA,NA,0.125,NA,48,vs ATL,30,·,14.1,-6.3
3,6804,Jordan Love,QB,26.9,GB,26.0,26,26,12.12,12.12,12.12,1,1,1,65,65,0,72.0%,46,25,18,7,7,1,89.30,201,5,1,183,7.32,10.17,0,0,0,0,0,0,0,0,0.0,0.0,4,0,1,18,0,NA,18,4.5,100.0%,NA,NA,NA,1,NA,9,29,NA,NA,NA,NA,NA,8,32.0%,2.56,4.0%,38.7%,1.6,NA,31,201,@ CLE,24,·,19.8,-7.7
3,9226,De'Von Achane,RB,23.9,MIA,12.0,16,23,16.1,12.6,9.1,1,1,1,61,47,0,0.0%,0,0,0,0,0,0,0.00,62,0,0,0,0.00,0.00,7,-30,0,1,0,9,59,29,4.1,3.2,12,1,1,91,0,46,62,5.17,77.0%,3,3.80,0.250,1,0.630,2,21,0.095,2.0,NA,26.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,91,@ BUF,13,·,21.9,-5.8
3,11635,Ladd McConkey,WR,23.9,LAC,46.0,49,51,8.1,6.1,4.1,1,1,1,86,80,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,21,1,3,0,7,20,41,10.3,5.9,0,0,0,41,0,NA,0,0,93.0%,NA,NA,NA,0,NA,3,7,0.429,3.0,52,14.9%,0.79,0,NA,NA,NA,NA,NA,0.058,NA,41,vs DEN,27,·,15.7,-7.6
3,4046,Patrick Mahomes,QB,30.0,KC,20.0,20,20,13.16,13.16,13.16,1,1,1,72,72,2,59.5%,112,37,22,12,15,0,85.90,226,2,1,224,6.05,10.18,0,0,0,0,0,0,0,0,0.0,0.0,5,0,0,2,0,NA,2,0.4,100.0%,NA,NA,NA,0,NA,13,42,NA,NA,NA,NA,NA,13,35.1%,2.59,16.2%,29.3%,8.6,NA,41,226,@ NYG,14,·,22.8,-9.6
3,11584,Bucky Irving,RB,23.1,TB,15.0,17,18,13.9,11.9,9.9,1,1,1,72,53,0,0.0%,0,0,0,0,0,0,0.00,66,0,0,0,0.00,0.00,4,-19,0,1,0,4,52,33,8.3,8.3,25,1,2,99,0,45,66,2.64,74.0%,11,1.80,0.440,2,0.620,3,29,0.103,3.0,NA,13.8%,NA,0,NA,NA,NA,NA,NA,NA,NA,99,vs NYJ,9,OUT,19.2,-5.3
3,6813,Jonathan Taylor,RB,26.7,IND,1.0,1,1,32.8,31.3,29.8,1,1,1,57,45,0,0.0%,0,0,0,0,0,0,0.00,102,0,0,0,0.00,0.00,3,-13,1,0,0,4,29,16,5.3,4.0,17,7,3,118,3,95,102,6,79.0%,7,5.60,0.412,6,0.972,6,21,0.286,6.0,NA,16.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,118,@ TEN,3,·,18.6,14.2
