SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP%,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
3,3198,Derrick Henry,RB,31.7,BAL,25.0,22,21,10.7,10.2,9.7,1,1,1,57,28,1,0.0%,0,1,0,0,1,0,39.60,50,0,0,0,0.00,0.00,1,-2,0,0,0,1,9,7,7.0,7.0,12,0,1,57,1,25,50,4.17,49.0%,2,2.10,0.167,2,0.377,2,14,0.143,2.0,NA,3.6%,NA,0,0.0%,NA,NA,NA,NA,NA,NA,57,vs DET,26,·,16.4,-5.7
3,12512,Quinshon Judkins,RB,21.9,CLE,11.0,11,10,16.5,16,15.5,1,1,1,66,36,0,0.0%,0,0,0,0,0,0,0.00,94,0,0,0,0.00,0.00,1,1,0,0,0,2,0,1,1.0,0.5,18,0,4,95,1,65,94,5.22,55.0%,4,3.60,0.222,5,0.582,5,20,0.250,5.0,NA,5.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,95,vs GB,31,·,10.6,5.9
3,5859,A.J. Brown,WR,28.2,PHI,4.0,3,3,22.9,19.9,16.9,1,1,1,67,62,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,76,0,3,1,10,33,109,18.2,10.9,0,0,0,109,0,NA,0,0,93.0%,NA,NA,NA,0,NA,4,10,0.400,4.0,35,31.3%,3.11,0,NA,NA,NA,NA,NA,0.086,NA,109,vs LAR,12,·,13.9,9.0
3,6801,Tee Higgins,WR,26.7,CIN,99.0,93,89,2.5,2,1.5,1,1,1,56,46,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,12,0,1,0,2,3,15,15.0,7.5,0,0,0,15,0,NA,0,0,82.0%,NA,NA,NA,0,NA,1,2,0.500,1.0,27,7.4%,0.56,0,NA,NA,NA,NA,NA,0.037,NA,15,@ MIN,32,·,12.1,-9.6
3,11559,Michael Penix Jr.,QB,25.4,ATL,31.0,31,31,5.78,5.78,5.78,1,1,1,66,51,0,50.0%,80,36,18,10,18,2,40.50,181,0,0,172,4.78,9.56,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,9,0,NA,9,4.5,77.0%,NA,NA,NA,0,NA,10,38,NA,NA,NA,NA,NA,10,27.8%,2.83,2.8%,23.7%,8.4,NA,38,181,@ CAR,20,·,18.1,-12.3
3,5849,Kyler Murray,QB,28.1,ARI,16.0,16,16,14.06,14.06,14.06,1,1,1,66,66,0,62.9%,67,35,22,7,13,0,82.90,196,1,1,159,4.54,7.23,0,0,0,0,0,0,0,0,0.0,0.0,6,1,2,37,0,NA,37,6.17,100.0%,NA,NA,NA,2,NA,10,41,NA,NA,NA,NA,NA,8,22.9%,3.07,8.6%,30.0%,5.3,NA,40,196,@ SF,10,Q,20.6,-6.5
3,12530,Travis Hunter,WR,22.4,JAX,90.0,85,80,3.1,2.6,2.1,1,1,0,70,37,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,3,0,1,0,2,18,21,21.0,10.5,0,0,0,21,0,NA,0,0,53.0%,NA,NA,NA,0,NA,1,2,0.500,1.0,26,5.0%,0.81,0,NA,NA,NA,NA,NA,0.038,NA,21,vs HOU,26,·,8.5,-5.4
3,9484,Tucker Kraft,TE,24.9,GB,26.0,26,26,5.9,4.4,2.9,1,1,1,65,57,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,0,1,1,0,4,29,29,9.7,7.3,0,0,0,29,0,NA,0,0,88.0%,NA,NA,NA,0,NA,1,4,0.250,1.0,20,16.0%,1.45,0,NA,NA,NA,NA,NA,0.050,NA,29,@ CLE,19,·,10.7,-4.8
3,8148,Jameson Williams,WR,24.5,DET,59.0,55,48,6.3,5.3,4.3,1,1,1,68,62,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,39,0,2,0,3,4,43,21.5,14.3,0,0,0,43,0,NA,0,0,91.0%,NA,NA,NA,0,NA,2,3,0.667,2.0,26,10.7%,1.65,0,NA,NA,NA,NA,NA,0.077,NA,43,@ BAL,2,·,11.6,-5.3
3,8151,Kenneth Walker III,RB,24.9,SEA,10.0,10,9,18,17.5,17,1,1,1,57,30,0,0.0%,0,0,0,0,0,0,0.00,38,0,0,0,0.00,0.00,1,2,0,1,0,1,10,12,12.0,12.0,16,2,2,50,2,37,38,2.38,53.0%,5,2.30,0.313,4,0.543,5,17,0.294,5.0,NA,4.8%,NA,0,NA,NA,NA,NA,NA,NA,NA,50,vs NO,11,·,18.7,-0.7
3,10859,Sam LaPorta,TE,24.7,DET,22.0,22,24,7.3,5.3,3.3,1,1,1,68,57,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,25,0,3,0,4,8,33,8.3,8.3,0,0,0,33,0,NA,0,0,84.0%,NA,NA,NA,0,NA,3,4,0.750,3.0,22,14.3%,1.50,0,NA,NA,NA,NA,NA,0.136,NA,33,@ BAL,10,·,12.0,-4.7
3,3163,Jared Goff,QB,30.9,DET,23.0,23,23,12.68,12.68,12.68,1,1,1,68,68,1,71.4%,133,28,20,10,8,0,103.60,208,0,1,202,7.21,10.10,0,0,0,0,0,0,0,0,0.0,0.0,4,0,1,6,0,NA,6,1.5,100.0%,NA,NA,NA,1,NA,12,32,NA,NA,NA,NA,NA,11,39.3%,2.93,3.6%,40.0%,7.6,NA,30,208,@ BAL,2,·,20.3,-7.6
3,11565,J.J. McCarthy,QB,22.7,MIN,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs CIN,7,OUT,OUT,OUT
3,3294,Dak Prescott,QB,32.2,DAL,17.0,17,17,14.04,14.04,14.04,1,1,1,74,64,0,77.5%,141,40,31,11,9,2,80.30,251,2,1,251,6.28,8.10,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,86.0%,NA,NA,NA,0,NA,12,40,NA,NA,NA,NA,NA,12,30.0%,2.98,5.0%,28.6%,4.9,NA,42,251,@ CHI,15,·,21.3,-7.3
3,11624,Xavier Worthy,WR,22.4,KC,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ NYG,3,·,DNP,DNP
3,11638,Ricky Pearsall,WR,25.0,SF,11.0,14,18,19.7,15.7,11.7,1,1,1,65,63,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,107,0,6,0,11,10,117,14.6,10.6,0,0,0,117,0,NA,0,0,97.0%,NA,NA,NA,0,NA,6,11,0.545,6.0,41,26.8%,2.85,0,NA,NA,NA,NA,NA,0.146,NA,117,vs ARI,14,OUT,13.7,6.0
3,12508,Jaxson Dart,QB,22.4,NYG,37.0,37,37,0.3,0.3,0.3,1,1,0,66,3,0,0.0%,0,0,0,0,0,0,0.00,3,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,3,0,NA,3,3,5.0%,NA,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,0,NA,0.00,0.0%,0.0%,0.0,NA,1,3,vs KC,30,Q,Q,Q
3,7523,Trevor Lawrence,QB,26.0,JAX,28.0,28,28,8.78,8.78,8.78,1,1,1,70,70,0,50.0%,103,40,20,10,20,1,56.50,231,2,0,222,5.55,11.10,0,0,0,0,0,0,0,0,0.0,0.0,2,1,1,9,0,NA,9,4.5,100.0%,NA,NA,NA,1,NA,11,42,NA,NA,NA,NA,NA,10,25.0%,2.57,10.0%,25.6%,7.7,NA,43,231,vs HOU,32,·,19.0,-10.2
3,8137,George Pickens,WR,24.6,DAL,16.0,16,12,17.8,15.3,12.8,1,1,1,74,61,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,44,1,4,1,9,24,68,13.6,7.6,0,0,0,68,0,NA,0,0,82.0%,NA,NA,NA,0,NA,5,9,0.556,5.0,39,20.0%,1.74,0,NA,NA,NA,NA,NA,0.103,NA,68,@ CHI,23,·,11.0,6.8
3,7525,DeVonta Smith,WR,26.8,PHI,9.0,13,16,20,16,12,1,1,1,67,64,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,54,0,2,1,9,6,60,7.5,6.7,0,0,0,60,0,NA,0,0,96.0%,NA,NA,NA,0,NA,3,9,0.333,3.0,36,28.1%,1.67,0,NA,NA,NA,NA,NA,0.056,NA,60,vs LAR,12,·,12.4,7.6
3,9756,Jordan Addison,WR,23.6,MIN,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs CIN,11,·,DNP,DNP
3,5846,DK Metcalf,WR,27.8,PIT,32.0,30,27,12.2,10.7,9.2,1,1,1,54,48,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,9,0,1,1,4,23,32,10.7,8.0,0,0,0,32,0,NA,0,0,89.0%,NA,NA,NA,0,NA,2,4,0.500,2.0,22,17.4%,1.45,0,NA,NA,NA,NA,NA,0.045,NA,32,@ NE,7,·,15.6,-3.4
3,7594,Chuba Hubbard,RB,26.3,CAR,29.0,29,28,9.6,8.6,7.6,1,1,1,58,36,0,0.0%,0,0,0,0,0,0,0.00,73,0,0,0,0.00,0.00,2,-6,0,0,0,3,9,3,1.5,1.0,17,0,2,76,0,60,73,4.29,62.0%,5,3.50,0.294,2,0.644,2,20,0.100,2.0,NA,12.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,76,vs ATL,32,OUT,15.9,-6.3
3,12501,Matthew Golden,WR,22.1,GB,37.0,37,38,10.1,8.1,6.1,1,1,1,65,46,0,0.0%,0,0,0,0,0,0,0.00,9,0,0,0,0.00,0.00,4,34,0,1,0,4,18,52,13.0,13.0,3,1,0,61,0,NA,9,3,71.0%,NA,NA,NA,0,NA,1,7,0.143,1.0,26,16.0%,2.00,0,NA,NA,NA,NA,NA,0.038,NA,61,@ CLE,8,·,9.1,1.0
3,7543,Travis Etienne,RB,26.6,JAX,21.0,18,15,11.6,11.6,11.6,1,1,1,70,38,0,0.0%,0,0,0,0,0,0,0.00,56,0,0,0,0.00,0.00,0,0,1,0,0,2,0,0,0.0,0.0,16,0,1,56,1,50,56,3.5,54.0%,6,3.10,0.375,2,0.685,2,18,0.111,2.0,NA,5.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,56,vs HOU,20,·,12.7,-1.1
3,12489,RJ Harvey,RB,24.6,DEN,50.0,51,62,4.6,3.1,1.6,1,1,1,52,15,0,0.0%,0,0,0,0,0,0,0.00,2,0,0,0,0.00,0.00,3,-6,0,0,0,3,20,14,4.7,4.7,2,0,0,16,0,4,2,1,29.0%,1,1.80,0.500,0,0.680,0,5,0.000,0.0,NA,12.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,16,@ LAC,25,·,7.0,-2.4
3,8144,Chris Olave,WR,25.2,NO,19.0,31,40,15.7,10.7,5.7,1,1,1,73,62,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,10,30,0,4,0,14,27,57,5.7,4.1,0,0,0,57,0,NA,0,0,85.0%,NA,NA,NA,0,NA,4,14,0.286,4.0,40,34.1%,1.43,0,NA,NA,NA,NA,NA,0.100,NA,57,@ SEA,17,·,14.0,1.7
3,11637,Keon Coleman,WR,22.4,BUF,69.0,73,82,5,3.5,2,1,1,1,60,45,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,5,0,1,0,4,15,20,6.7,5.0,0,0,0,20,0,NA,0,0,75.0%,NA,NA,NA,0,NA,1,4,0.250,1.0,25,14.3%,0.80,0,NA,NA,NA,NA,NA,0.040,NA,20,vs MIA,21,·,11.7,-6.7
3,4217,George Kittle,TE,32.0,SF,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs ARI,12,IR,IR,IR
3,12517,Colston Loveland,TE,21.4,CHI,35.0,32,25,4.1,3.6,3.1,1,1,1,59,6,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,17,0,1,0,3,14,31,31.0,10.3,0,0,0,31,0,NA,0,0,10.0%,NA,NA,NA,0,NA,1,3,0.333,1.0,5,10.7%,6.20,0,NA,NA,NA,NA,NA,0.200,NA,31,vs DAL,9,OUT,3.1,1.0
3,5927,Terry McLaurin,WR,30.0,WAS,36.0,34,33,10.4,8.9,7.4,1,1,1,58,35,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,52,0,3,0,4,22,74,24.7,18.5,0,0,0,74,0,NA,0,0,60.0%,NA,NA,NA,0,NA,3,4,0.750,3.0,12,19.0%,6.17,0,NA,NA,NA,NA,NA,0.250,NA,74,vs LV,4,OUT,14.9,-4.5
3,7526,Jaylen Waddle,WR,26.8,MIA,21.0,23,23,14.9,12.4,9.9,1,1,1,61,53,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,21,0,3,1,6,18,39,7.8,6.5,0,0,0,39,0,NA,0,0,87.0%,NA,NA,NA,0,NA,4,6,0.667,4.0,30,17.6%,1.30,0,NA,NA,NA,NA,NA,0.100,NA,39,@ BUF,20,·,11.6,3.3
3,12533,Jacory Croskey-Merritt,RB,24.4,WAS,26.0,26,22,10.1,9.6,9.1,1,1,0,58,23,0,0.0%,0,0,0,0,0,0,0.00,26,0,0,0,0.00,0.00,1,-6,0,0,0,1,11,5,5.0,5.0,8,3,1,31,1,25,26,3.25,40.0%,2,3.10,0.250,2,0.560,2,9,0.222,2.0,NA,4.8%,NA,0,NA,NA,NA,NA,NA,NA,NA,31,vs LV,10,·,13.2,-3.1
3,5870,Daniel Jones,QB,28.3,IND,11.0,11,11,15.82,15.82,15.82,1,1,1,57,50,0,72.0%,108,25,18,9,7,0,113.40,255,0,1,228,9.12,12.67,0,0,0,0,0,0,0,0,0.0,0.0,4,1,2,27,0,NA,27,6.75,88.0%,NA,NA,NA,2,NA,12,29,NA,NA,NA,NA,NA,10,40.0%,2.81,8.0%,25.0%,7.2,NA,28,255,@ TEN,23,·,18.4,-2.6
3,7588,Javonte Williams,RB,25.4,DAL,20.0,25,30,12.2,9.7,7.2,1,1,1,74,44,1,0.0%,0,0,0,0,0,0,0.00,76,0,0,0,0.00,0.00,5,-16,0,1,0,5,32,16,3.2,3.2,10,1,4,92,0,61,76,7.6,59.0%,5,6.10,0.500,4,1.110,5,15,0.333,5.0,NA,11.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,92,@ CHI,7,·,16.4,-4.2
3,5045,Courtland Sutton,WR,30.0,DEN,3.0,2,2,23.8,20.8,17.8,1,1,1,52,42,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,84,0,4,1,8,34,118,19.7,14.8,0,0,0,118,0,NA,0,0,81.0%,NA,NA,NA,0,NA,5,8,0.625,5.0,27,32.0%,4.37,0,NA,NA,NA,NA,NA,0.148,NA,118,@ LAC,25,·,12.4,11.4
3,7591,Justin Fields,QB,26.6,NYJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ TB,4,·,DNP,DNP
3,9228,Bryce Young,QB,24.2,CAR,27.0,27,27,11.64,11.64,11.64,1,1,1,58,57,0,66.7%,45,24,16,7,8,0,78.60,129,1,0,121,5.04,7.56,0,0,0,0,0,0,0,0,0.0,0.0,2,0,1,8,1,NA,8,4,98.0%,NA,NA,NA,2,NA,9,26,NA,NA,NA,NA,NA,7,29.2%,2.66,4.2%,25.9%,5.8,NA,27,129,vs ATL,31,·,18.2,-6.6
3,12506,Harold Fannin,TE,21.2,CLE,30.0,28,30,5.5,4,2.5,1,1,0,66,42,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,3,0,1,0,4,22,25,8.3,6.3,0,0,0,25,0,NA,0,0,64.0%,NA,NA,NA,0,NA,1,4,0.250,1.0,19,11.1%,1.32,0,NA,NA,NA,NA,NA,0.053,NA,25,vs GB,17,·,9.7,-4.2
3,4983,D.J. Moore,WR,28.4,CHI,29.0,29,29,12.8,10.8,8.8,1,1,1,59,53,0,0.0%,0,0,0,0,0,0,0.00,7,0,0,0,0.00,0.00,4,14,0,1,1,5,7,21,5.3,4.2,3,0,0,28,0,NA,7,2.33,90.0%,NA,NA,NA,0,NA,2,8,0.250,2.0,26,17.9%,0.81,0,NA,NA,NA,NA,NA,0.038,NA,28,vs DAL,1,·,12.6,0.2
3,2216,Mike Evans,WR,32.1,TB,28.0,27,26,13.3,11.3,9.3,1,1,1,72,52,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,27,2,2,1,8,6,33,8.3,4.1,0,0,0,33,0,NA,0,0,72.0%,NA,NA,NA,0,NA,3,8,0.375,3.0,24,31.0%,1.38,0,NA,NA,NA,NA,NA,0.083,NA,33,vs NYJ,13,OUT,15.5,-2.2
3,8408,Jordan Mason,RB,26.3,MIN,7.0,4,3,23.6,23.6,23.6,1,1,1,60,36,0,0.0%,0,0,0,0,0,0,0.00,116,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,16,3,5,116,2,64,116,7.25,60.0%,6,4.00,0.375,7,0.775,7,16,0.438,7.0,NA,0.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,116,vs CIN,1,·,16.7,6.9
3,12481,Cam Skattebo,RB,23.6,NYG,5.0,6,6,24.1,21.1,18.1,1,1,0,66,39,0,0.0%,0,0,0,0,0,0,0.00,60,0,0,0,0.00,0.00,6,6,0,4,0,8,55,61,10.2,7.6,10,3,3,121,1,46,60,6,59.0%,7,4.60,0.700,4,1.160,8,18,0.444,8.0,NA,25.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,121,vs KC,22,·,10.2,13.9
3,2133,Davante Adams,WR,32.7,LAR,24.0,21,20,14.6,13.1,11.6,1,1,1,66,57,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,56,0,0,1,8,0,56,18.7,7.0,0,0,0,56,0,NA,0,0,86.0%,NA,NA,NA,0,NA,1,8,0.125,1.0,34,23.5%,1.65,0,NA,NA,NA,NA,NA,0.000,NA,56,@ PHI,15,·,16.3,-1.7
3,4035,Alvin Kamara,RB,30.2,NO,40.0,37,32,6.6,6.1,5.6,1,1,1,73,54,0,0.0%,0,0,0,0,0,0,0.00,42,0,0,0,0.00,0.00,1,-3,0,1,0,2,17,14,14.0,7.0,18,0,3,56,0,32,42,2.33,74.0%,1,1.80,0.056,3,0.236,4,20,0.200,4.0,NA,4.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,56,@ SEA,18,·,13.4,-6.8
3,9753,Zach Charbonnet,RB,24.7,SEA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs NO,11,·,DNP,DNP
3,9754,Quentin Johnston,WR,24.0,LAC,22.0,24,28,14.9,11.9,8.9,1,1,1,86,75,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,45,0,4,0,10,44,89,14.8,8.9,0,0,0,89,0,NA,0,0,87.0%,NA,NA,NA,0,NA,4,10,0.400,4.0,49,19.1%,1.82,0,NA,NA,NA,NA,NA,0.082,NA,89,vs DEN,27,·,10.8,4.1
3,12490,Bhayshul Tuten,RB,22.6,JAX,34.0,30,25,8.1,8.1,8.1,1,1,0,70,12,0,0.0%,0,0,0,0,0,0,0.00,21,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,6,2,1,21,1,21,21,3.5,17.0%,3,3.50,0.500,2,0.850,2,7,0.286,2.0,NA,2.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,21,vs HOU,20,·,7.6,0.5
3,11589,Trey Benson,RB,23.2,ARI,33.0,34,37,8.1,6.6,5.1,1,1,0,66,40,0,0.0%,0,0,0,0,0,0,0.00,42,0,0,0,0.00,0.00,3,-1,0,0,0,4,10,9,3.0,2.3,10,2,2,51,0,42,42,4.2,61.0%,4,4.20,0.400,2,0.820,2,14,0.143,2.0,NA,11.4%,NA,0,NA,NA,NA,NA,NA,NA,NA,51,@ SF,14,IR,8.8,-0.7
3,5947,Jakobi Meyers,WR,28.9,LV,40.0,39,37,9.3,7.8,6.3,1,1,1,66,62,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,39,0,1,0,4,24,63,21.0,15.8,0,0,0,63,0,NA,0,0,94.0%,NA,NA,NA,0,NA,1,4,0.250,1.0,34,13.8%,1.85,0,NA,NA,NA,NA,NA,0.029,NA,63,@ WAS,10,·,14.3,-5.0
3,8228,Jaylen Warren,RB,26.9,PIT,18.0,20,26,13.1,10.6,8.1,1,1,1,54,43,0,0.0%,0,0,0,0,0,0,0.00,47,0,0,0,0.00,0.00,5,-15,1,1,0,6,49,34,6.8,5.7,18,4,5,81,0,47,47,2.61,80.0%,12,2.60,0.667,5,0.927,6,24,0.250,6.0,NA,26.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,81,@ NE,27,OUT,14.5,-1.4
3,6819,Michael Pittman,WR,28.0,IND,13.0,11,10,19.3,16.3,13.3,1,1,1,57,46,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,32,0,3,1,6,41,73,12.2,12.2,0,0,0,73,0,NA,0,0,81.0%,NA,NA,NA,0,NA,4,6,0.667,4.0,23,24.0%,3.17,0,NA,NA,NA,NA,NA,0.130,NA,73,@ TEN,9,·,10.6,8.7
3,6783,Jerry Jeudy,WR,26.4,CLE,94.0,90,84,2.7,2.2,1.7,1,1,1,66,55,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,17,0,1,0,5,0,17,17.0,3.4,0,0,0,17,0,NA,0,0,83.0%,NA,NA,NA,0,NA,1,5,0.200,1.0,33,13.9%,0.52,0,NA,NA,NA,NA,NA,0.030,NA,17,vs GB,28,·,11.9,-9.2
3,10236,Dalton Kincaid,TE,25.9,BUF,4.0,3,3,17.6,15.1,12.6,1,1,1,60,33,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,23,0,3,1,6,43,66,13.2,11.0,0,0,0,66,0,NA,0,0,55.0%,NA,NA,NA,0,NA,4,6,0.667,4.0,18,21.4%,3.67,0,NA,NA,NA,NA,NA,0.167,NA,66,vs MIA,6,·,7.6,10.0
3,12499,Elic Ayomanor,WR,22.3,TEN,27.0,25,24,13.8,11.8,9.8,1,1,1,70,52,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,31,0,2,1,5,7,38,9.5,7.6,0,0,0,38,0,NA,0,0,74.0%,NA,NA,NA,0,NA,3,5,0.600,3.0,32,13.2%,1.19,0,NA,NA,NA,NA,NA,0.063,NA,38,vs IND,5,·,10.7,3.1
3,4943,Sam Darnold,QB,28.3,SEA,10.0,10,10,16.72,16.72,16.72,1,1,1,57,39,0,77.8%,155,18,14,8,4,0,154.20,218,0,2,218,12.11,15.57,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,68.0%,NA,NA,NA,0,NA,10,18,NA,NA,NA,NA,NA,10,55.6%,2.82,11.1%,16.7%,10.5,NA,18,218,vs NO,5,·,19.4,-2.7
3,5872,Deebo Samuel,WR,29.7,WAS,71.0,70,66,4.9,3.9,2.9,1,1,0,58,25,0,0.0%,0,0,0,0,0,0,0.00,18,0,0,0,0.00,0.00,2,-12,1,0,0,3,23,11,5.5,3.7,3,1,0,29,0,NA,18,6,43.0%,NA,NA,NA,0,NA,0,6,0.000,0.0,9,14.3%,1.22,0,NA,NA,NA,NA,NA,0.000,NA,29,vs LV,4,·,15.2,-10.3
3,3321,Tyreek Hill,WR,31.6,MIA,18.0,19,21,15.9,13.4,10.9,1,1,1,61,53,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,36,0,4,1,10,13,49,9.8,4.9,0,0,0,49,0,NA,0,0,87.0%,NA,NA,NA,0,NA,5,10,0.500,5.0,32,29.4%,1.53,0,NA,NA,NA,NA,NA,0.125,NA,49,@ BUF,20,IR,14.8,1.1
3,7553,Kyle Pitts,TE,25.0,ATL,20.0,21,21,7.9,5.9,3.9,1,1,1,66,54,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,14,0,2,0,6,25,39,9.8,6.5,0,0,0,39,0,NA,0,0,82.0%,NA,NA,NA,0,NA,2,6,0.333,2.0,42,14.0%,0.93,0,NA,NA,NA,NA,NA,0.048,NA,39,@ CAR,2,·,9.1,-1.2
3,12519,Luther Burden,WR,21.8,CHI,10.0,6,4,19.8,18.3,16.8,1,1,0,59,17,0,0.0%,0,0,0,0,0,0,0.00,7,0,0,0,0.00,0.00,3,64,0,1,1,3,37,101,33.7,33.7,1,1,1,108,0,NA,7,7,29.0%,NA,NA,NA,1,NA,3,4,0.750,3.0,8,10.7%,12.63,0,NA,NA,NA,NA,NA,0.125,NA,108,vs DAL,1,·,2.5,17.3
3,5892,David Montgomery,RB,28.3,DET,2.0,2,2,29.4,28.9,28.4,1,1,0,68,25,0,0.0%,0,0,0,0,0,0,0.00,151,0,0,0,0.00,0.00,1,4,0,1,0,1,9,13,13.0,13.0,12,0,4,164,2,96,151,12.58,37.0%,8,8.00,0.667,6,1.467,7,13,0.538,7.0,NA,3.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,164,@ BAL,2,·,11.8,17.6
