WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CMP%OE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
16,4984,Josh Allen,QB,29.4,BUF,27,27,27,6.9,6.9,6.9,1,1,1,50,50,0,63.2,27,19,12,6,7,0,83.20,147,2,0,130,6.84,10.83,0,0,0,0,0,0,0,0,0.0,0.0,7,0,2,17,0,NA,17,2.43,100.0%,NA,NA,NA,2,NA,8,26,NA,NA,NA,NA,NA,6,31.6%,NA,NA,NA,NA,NA,NA,147,NA,NA,@ CLE,29,·,25.1,-18.2
16,9509,Bijan Robinson,RB,23.7,ATL,4,5,7,29.8,26.3,22.8,1,1,1,77,54,0,0.0,0,0,0,0,0,0,0.00,76,0,0,0,0.00,0.00,7,-16,1,2,1,11,108,92,13.1,8.4,16,0,4,168,0,42,76,4.75,70.1%,6,2.60,0.375,4,0.635,7,27,0.259,7.0,NA,31.4%,NA,0,NA,NA,NA,NA,NA,NA,NA,168,NA,NA,@ ARI,5,·,22.39,7.4
16,7564,Ja'Marr Chase,WR,25.6,CIN,12,15,19,19.9,15.4,10.9,1,1,1,61,53,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,9,77,0,6,0,11,32,109,12.1,9.9,0,0,0,109,0,NA,0,0,86.9%,NA,NA,NA,0,NA,6,11,0.545,6.0,34,33.3%,3.21,0,NA,NA,NA,NA,NA,0.176,NA,109,NA,NA,@ MIA,25,·,19.17,0.7
16,9493,Puka Nacua,WR,24.3,LAR,1,1,1,46.5,40.5,34.5,1,1,1,92,72,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,12,101,0,5,2,16,124,225,18.8,14.1,0,0,0,225,0,NA,0,0,78.3%,NA,NA,NA,0,NA,7,16,0.438,7.0,45,32.7%,5.00,0,NA,NA,NA,NA,NA,0.111,NA,225,NA,NA,@ SEA,14,·,21.19,25.3
16,4881,Lamar Jackson,QB,28.7,BAL,29,29,29,4.74,4.74,4.74,1,1,1,55,26,0,70.0,70,10,7,7,3,0,102.50,108,0,0,101,10.10,14.43,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,7,0,NA,7,3.5,47.3%,NA,NA,NA,0,NA,7,12,NA,NA,NA,NA,NA,7,70.0%,3.62,10.0%,30.0%,12.00,NA,10,108,+1.8%,+0.60,vs NE,17,·,22.41,-17.7
16,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs PHI,25,OUT,OUT,OUT
16,9221,Jahmyr Gibbs,RB,23.5,DET,9,13,19,22.8,17.8,12.8,1,1,1,74,64,1,0.0,0,0,0,0,0,0,0.00,2,0,0,0,0.00,0.00,10,18,1,2,1,13,48,66,6.6,5.1,7,1,1,68,0,13,2,0.29,86.5%,3,1.90,0.429,1,0.619,4,20,0.200,4.0,NA,24.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,vs PIT,22,·,22.67,0.1
16,6794,Justin Jefferson,WR,26.3,MIN,20,26,28,14.5,11.5,8.5,1,1,1,61,58,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,49,1,4,0,8,36,85,14.2,10.6,0,0,0,85,0,NA,0,0,95.1%,NA,NA,NA,0,NA,4,8,0.500,4.0,28,34.8%,3.04,0,NA,NA,NA,NA,NA,0.143,NA,85,NA,NA,@ NYG,3,·,13.28,1.2
16,9488,Jaxon Smith-Njigba,WR,23.6,SEA,6.0,6,8,23.6,19.6,15.6,1,1,1,68,65,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,60,0,4,1,13,36,96,12.0,7.4,0,0,0,96,0,NA,0,0,95.6%,NA,NA,NA,0,NA,5,13,0.385,5.0,38,38.2%,2.53,0,NA,NA,NA,NA,NA,0.105,NA,96,NA,NA,vs LAR,10,·,20.64,3.0
16,7547,Amon-Ra St. Brown,WR,25.9,DET,40.0,40,41,9.4,7.4,5.4,1,1,1,74,72,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,8,1,2,0,9,46,54,13.5,6.0,0,0,0,54,0,NA,0,0,97.3%,NA,NA,NA,0,NA,2,9,0.222,2.0,56,16.7%,0.96,0,NA,NA,NA,NA,NA,0.036,NA,54,NA,NA,vs PIT,11,·,19.66,-10.3
16,6786,CeeDee Lamb,WR,26.5,DAL,31.0,37,44,11.1,8.1,5.1,1,1,1,58,50,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,44,0,3,0,7,7,51,8.5,7.3,0,0,0,51,0,NA,0,0,86.2%,NA,NA,NA,0,NA,3,7,0.429,3.0,34,21.9%,1.50,0,NA,NA,NA,NA,NA,0.088,NA,51,NA,NA,vs LAC,32,·,17.53,-6.4
16,11632,Malik Nabers,WR,22.2,NYG,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs MIN,31,IR,IR,IR
16,11564,Drake Maye,QB,23.1,NE,7.0,7,7,24.7,24.7,24.7,1,1,1,74,74,2,70.5,276,44,31,15,13,1,102.50,405,3,2,380,8.64,12.26,0,0,0,0,0,0,0,0,0.0,0.0,10,0,3,25,0,NA,25,2.5,100.0%,NA,NA,NA,3,NA,20,54,NA,NA,NA,NA,NA,17,38.6%,3.29,11.4%,43.1%,10.10,NA,51,405,+11.6%,+0.18,@ BAL,16,·,21.86,2.8
16,12514,Emeka Egbuka,WR,23.0,TB,74.0,66,59,5,4.5,4,1,1,1,64,36,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,34,0,1,0,2,6,40,40.0,20.0,0,0,0,40,0,NA,0,0,56.3%,NA,NA,NA,0,NA,1,2,0.500,1.0,15,7.7%,2.67,0,NA,NA,NA,NA,NA,0.067,NA,40,NA,NA,@ CAR,23,·,9.48,-4.5
16,11604,Brock Bowers,TE,22.8,LV,12.0,12,12,14.3,11.8,9.3,1,1,1,54,53,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,18,0,1,1,5,15,33,6.6,6.6,0,0,0,33,0,NA,0,0,98.1%,NA,NA,NA,0,NA,2,5,0.400,2.0,24,21.7%,1.38,0,NA,NA,NA,NA,NA,0.042,NA,33,NA,NA,@ HOU,25,·,12.47,1.8
16,6904,Jalen Hurts,QB,27.1,PHI,10.0,10,10,19.4,19.4,19.4,1,1,1,70,66,1,73.3,105,30,22,9,8,0,111.10,225,2,2,185,6.17,8.41,0,0,0,0,0,0,0,0,0.0,0.0,7,0,3,40,0,NA,40,5.71,94.3%,NA,NA,NA,3,NA,14,37,NA,NA,NA,NA,NA,11,36.7%,2.65,3.3%,10.8%,6.60,NA,37,225,+4.4%,+0.22,@ WAS,6,·,24.68,-5.3
16,12527,Ashton Jeanty,RB,21.8,LV,3.0,1,1,31.8,31.3,30.8,1,1,1,54,50,0,0.0,0,0,0,0,0,0,0.00,128,0,0,0,0.00,0.00,1,26,0,0,1,2,34,60,60.0,30.0,24,4,2,188,1,108,128,5.33,92.6%,8,4.50,0.333,3,0.783,4,26,0.154,4.0,NA,8.7%,NA,0,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,@ HOU,24,·,13.16,18.6
16,6797,Justin Herbert,QB,27.6,LAC,4.0,4,4,30.2,30.2,30.2,1,1,1,64,64,1,79.3,210,29,23,13,6,0,132.80,342,0,2,300,10.34,13.04,0,0,0,0,0,0,0,0,0.0,0.0,8,0,2,42,1,NA,42,5.25,100.0%,NA,NA,NA,3,NA,18,37,NA,NA,NA,NA,NA,15,51.7%,3.04,17.2%,39.4%,9.80,NA,33,342,+14.7%,+0.72,@ DAL,1,·,23.36,6.8
16,6813,Jonathan Taylor,RB,26.7,IND,17.0,18,16,16.9,15.4,13.9,1,1,1,60,53,0,0.0,0,0,0,0,0,0,0.00,46,0,0,0,0.00,0.00,3,2,0,1,0,3,31,33,11.0,11.0,16,1,3,79,1,35,46,2.88,88.3%,3,2.20,0.188,4,0.408,5,19,0.263,5.0,NA,8.3%,NA,0,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,vs SF,27,·,18.91,-2.0
16,8112,Drake London,WR,24.2,ATL,67.0,70,70,5.7,4.2,2.7,1,1,1,77,53,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,30,1,2,0,8,-3,27,9.0,3.4,0,0,0,27,0,NA,0,0,68.8%,NA,NA,NA,0,NA,2,8,0.250,2.0,30,22.9%,0.90,0,NA,NA,NA,NA,NA,0.067,NA,27,NA,NA,@ ARI,17,OUT,16.45,-10.8
16,4046,Patrick Mahomes,QB,30.0,KC,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ TEN,7,OUT,OUT,OUT
16,6770,Joe Burrow,QB,28.8,CIN,5.0,5,5,28.96,28.96,28.96,1,1,1,61,55,0,78.1,156,32,25,12,7,0,146.50,315,2,4,309,9.66,12.36,0,0,0,0,0,0,0,0,0.0,0.0,2,0,1,6,0,NA,6,3,90.2%,NA,NA,NA,1,NA,17,34,NA,NA,NA,NA,NA,16,50.0%,2.76,9.4%,28.6%,6.30,NA,35,315,+8.6%,+0.51,@ MIA,12,·,20.71,8.3
16,9226,De'Von Achane,RB,24.0,MIA,14.0,15,15,18,16.5,15,1,1,1,59,42,0,0.0,0,0,0,0,0,0,0.00,81,0,0,0,0.00,0.00,3,-5,0,0,0,3,14,9,3.0,3.0,15,0,0,90,1,95,81,5.4,71.2%,4,6.30,0.267,1,0.897,1,18,0.056,1.0,NA,10.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,vs CIN,1,·,21.75,-3.8
