WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE,TD(t)
8,12507,Omarion Hampton,RB,22.5,LAC,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs MIN,10,IR,IR,IR,0.0
8,11620,Rome Odunze,WR,23.3,CHI,8.0,11,12,18.4,14.9,11.4,1,1,1,63,59,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,95,0,7,0,10,19,114,16.3,11.4,0,0,0,114,0,NA,0,0,94.0%,NA,NA,NA,0,NA,7,10,0.700,7.0,39,26.3%,2.92,0,NA,NA,NA,NA,NA,0.179,NA,114,@ BAL,4,·,13.0,5.4,0.0
8,12526,Tetairoa McMillan,WR,22.5,CAR,11.0,14,18,16.9,13.4,9.9,1,1,1,61,57,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,77,1,7,0,10,22,99,14.1,9.9,0,0,0,99,0,NA,0,0,93.0%,NA,NA,NA,0,NA,7,10,0.700,7.0,31,41.7%,3.19,0,NA,NA,NA,NA,NA,0.226,NA,99,vs BUF,24,·,13.4,3.5,0.0
8,11560,Caleb Williams,QB,23.9,CHI,20.0,20,20,12.8,12.8,12.8,1,1,1,63,63,0,65.8%,160,38,25,13,13,1,77.20,309,1,0,285,7.50,11.40,0,0,0,0,0,0,0,0,0.0,0.0,3,0,1,24,0,NA,24,8,100.0%,NA,NA,NA,1,NA,14,41,NA,NA,NA,NA,NA,13,34.2%,3.11,10.5%,24.4%,8.8,NA,41,309,@ BAL,2,·,17.6,-4.8,0.0
8,12518,Tyler Warren,TE,23.4,IND,12.0,13,14,9.3,7.3,5.3,1,1,0,53,39,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,15,0,3,0,5,38,53,13.3,10.6,0,0,0,53,0,NA,0,0,74.0%,NA,NA,NA,0,NA,3,5,0.600,3.0,29,16.1%,1.83,0,NA,NA,NA,NA,NA,0.103,NA,53,vs TEN,26,·,13.4,-4.1,0.0
8,12512,Quinshon Judkins,RB,21.9,CLE,41.0,45,49,4.7,3.2,1.7,1,1,1,54,18,0,0.0%,0,0,0,0,0,0,0.00,19,0,0,0,0.00,0.00,3,-4,0,0,0,3,2,-2,-0.7,-0.7,9,0,0,17,0,18,19,2.11,33.0%,2,2.00,0.222,0,0.422,0,12,0.000,0.0,NA,8.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,17,@ NE,27,OUT,12.9,-8.2,0.0
8,11584,Bucky Irving,RB,23.1,TB,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ NO,12,OUT,OUT,OUT,0.0
8,11631,Brian Thomas Jr.,WR,23.0,JAX,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE,0.0
8,8138,James Cook,RB,26.0,BUF,2.0,2,2,33.6,33.6,33.6,1,1,1,63,28,0,0.0%,0,0,0,0,0,0,0.00,216,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,19,1,8,216,2,76,216,11.37,44.0%,6,4.00,0.316,10,0.716,10,19,0.526,10.0,NA,0.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,216,@ CAR,24,·,18.0,15.6,2.0
8,4892,Baker Mayfield,QB,30.4,TB,26.0,26,26,4.08,4.08,4.08,1,1,1,58,56,1,62.5%,66,24,15,8,9,0,80.60,152,3,0,152,6.33,10.13,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,97.0%,NA,NA,NA,0,NA,8,24,NA,NA,NA,NA,NA,8,33.3%,2.82,4.2%,29.6%,6.6,NA,27,152,@ NO,11,·,21.8,-17.7,0.0
8,7569,Nico Collins,WR,26.5,HOU,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs SF,18,OUT,OUT,OUT,0.0
8,8146,Garrett Wilson,WR,25.2,NYJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ CIN,23,OUT,OUT,OUT,0.0
8,6804,Jordan Love,QB,26.9,GB,1.0,1,1,28.3,28.3,28.3,1,1,1,64,64,0,78.4%,115,37,29,13,8,0,134.20,359,0,3,360,9.73,12.41,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,-1,0,NA,-1,-1,100.0%,NA,NA,NA,0,NA,16,38,NA,NA,NA,NA,NA,16,43.2%,2.64,8.1%,18.9%,5.4,NA,37,359,@ PIT,4,·,17.9,10.4,3.0
8,10229,Rashee Rice,WR,25.4,KC,2.0,2,2,25.5,21,16.5,1,1,1,69,59,1,0.0%,0,0,0,0,0,0,0.00,12,0,0,0,0.00,0.00,9,37,0,4,1,9,56,93,10.3,10.3,2,0,0,105,0,NA,12,6,86.0%,NA,NA,NA,0,NA,5,11,0.455,5.0,31,26.5%,3.00,0,NA,NA,NA,NA,NA,0.129,NA,105,vs WAS,10,·,16.6,8.9,1.0
8,4866,Saquon Barkley,RB,28.6,PHI,3.0,4,4,33.4,31.4,29.4,1,1,1,57,35,0,0.0%,0,0,0,0,0,0,0.00,150,0,0,0,0.00,0.00,4,-12,0,1,1,5,36,24,6.0,4.8,14,0,3,174,1,42,150,10.71,59.0%,2,3.00,0.143,4,0.443,6,19,0.316,6.0,NA,25.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,174,vs NYG,16,Q,17.4,16.0,2.0
8,11563,Bo Nix,QB,25.6,DEN,6.0,6,6,24.78,24.78,24.78,1,1,1,63,59,0,65.5%,166,29,19,11,10,1,117.40,246,0,4,247,8.52,13.00,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,-1,0,NA,-1,-1,94.0%,NA,NA,NA,0,NA,15,30,NA,NA,NA,NA,NA,15,51.7%,2.70,17.2%,24.1%,11.7,NA,29,246,vs DAL,1,·,22.3,2.5,4.0
8,12508,Jaxson Dart,QB,22.4,NYG,13.0,13,13,19.42,19.42,19.42,1,1,1,52,52,0,58.3%,121,24,14,8,10,0,98.10,210,5,1,193,8.04,13.79,0,0,0,0,0,0,0,0,0.0,0.0,6,0,1,17,1,NA,17,2.83,100.0%,NA,NA,NA,2,NA,11,30,NA,NA,NA,NA,NA,9,37.5%,3.68,16.7%,54.8%,10.8,NA,31,210,@ PHI,19,·,19.3,0.1,2.0
8,11635,Ladd McConkey,WR,23.9,LAC,6.0,5,5,20.8,17.8,14.8,1,1,1,73,42,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,60,0,3,1,10,28,88,14.7,8.8,0,0,0,88,0,NA,0,0,58.0%,NA,NA,NA,0,NA,4,10,0.400,4.0,24,40.0%,3.67,0,NA,NA,NA,NA,NA,0.125,NA,88,vs MIN,14,·,13.6,7.2,1.0
8,4034,Christian McCaffrey,RB,29.3,SF,25.0,28,28,9.8,8.3,6.8,1,1,1,48,46,0,0.0%,0,0,0,0,0,0,0.00,25,0,0,0,0.00,0.00,3,3,1,3,0,6,40,43,14.3,7.2,8,0,1,68,0,14,25,3.13,96.0%,4,1.70,0.500,1,0.670,4,14,0.286,4.0,NA,18.8%,NA,0,NA,NA,NA,NA,NA,NA,NA,68,@ HOU,19,·,24.7,-14.9,0.0
8,8137,George Pickens,WR,24.6,DAL,17.0,23,28,14.8,11.3,7.8,1,1,1,74,59,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,62,0,5,0,9,16,78,11.1,8.7,0,0,0,78,0,NA,0,0,80.0%,NA,NA,NA,0,NA,5,9,0.556,5.0,32,25.7%,2.44,0,NA,NA,NA,NA,NA,0.156,NA,78,@ DEN,32,·,13.1,1.7,0.0
8,11628,Marvin Harrison Jr.,WR,23.1,ARI,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE,0.0
8,5850,Josh Jacobs,RB,27.6,GB,19.0,19,19,13.5,12,10.5,1,1,1,64,34,0,0.0%,0,0,0,0,0,0,0.00,33,0,0,0,0.00,0.00,3,-12,0,0,0,3,24,12,4.0,4.0,13,0,0,45,1,36,33,2.54,53.0%,1,2.80,0.077,1,0.357,1,16,0.063,1.0,NA,8.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,45,@ PIT,21,·,17.7,-4.2,1.0
