WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
4,4984,Josh Allen,QB,29.4,BUF,7,7,7,25.86,25.86,25.86,1,1,1,59,59,0,72.7%,86,22,16,8,6,1,113.60,254,3,2,209,9.50,13.06,0,0,0,0,0,0,0,0,0.0,0.0,7,0,2,45,1,NA,45,6.43,100.0%,NA,NA,NA,3,NA,13,29,NA,NA,NA,NA,NA,10,45.5%,2.74,18.2%,24.1%,9.6,NA,29,254,vs NO,5,·,25.2,0.7
4,4881,Lamar Jackson,QB,28.7,BAL,27,27,27,11.68,11.68,11.68,1,1,1,54,38,1,70.0%,84,20,14,6,6,1,86.90,195,3,1,147,7.35,10.50,0,0,0,0,0,0,0,0,0.0,0.0,6,1,3,48,0,NA,48,8,70.4%,NA,NA,NA,3,NA,10,26,NA,NA,NA,NA,NA,7,35.0%,2.82,5.0%,48.1%,6.0,NA,27,195,@ KC,30,OUT,23.1,-11.4
4,7564,Ja'Marr Chase,WR,25.6,CIN,53,60,72,7.3,4.8,2.3,1,1,1,48,46,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,10,1,0,0,8,13,23,4.6,2.9,0,0,0,23,0,NA,0,0,95.8%,NA,NA,NA,0,NA,0,8,0.000,0.0,27,32.0%,0.85,0,NA,NA,NA,NA,NA,0.000,NA,23,@ DEN,27,·,15.2,-7.9
4,9509,Bijan Robinson,RB,23.7,ATL,5,5,4,28.1,26.1,24.1,1,1,1,65,45,1,0.0%,0,0,0,0,0,0,0.00,75,0,0,0,0.00,0.00,4,17,0,4,0,5,89,106,26.5,21.2,17,4,4,181,1,75,75,4.41,69.2%,6,4.40,0.353,5,0.793,9,22,0.409,9.0,NA,19.2%,NA,0,NA,NA,NA,NA,NA,NA,NA,181,vs WAS,21,·,19.1,9.0
4,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ ATL,31,·,DNP,DNP
4,9221,Jahmyr Gibbs,RB,23.5,DET,15,15,16,17.7,16.7,15.7,1,1,1,60,37,0,0.0%,0,0,0,0,0,0,0.00,91,0,0,0,0.00,0.00,2,-6,0,0,0,2,12,6,3.0,3.0,15,1,4,97,1,56,91,6.07,61.7%,4,3.70,0.267,5,0.637,5,17,0.294,5.0,NA,7.4%,NA,0,NA,NA,NA,NA,NA,NA,NA,97,vs CLE,28,·,19.2,-1.5
4,11632,Malik Nabers,WR,22.2,NYG,77,77,76,4,3,2,1,1,1,76,25,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,17,0,1,0,3,3,20,10.0,6.7,0,0,0,20,0,NA,0,0,32.9%,NA,NA,NA,0,NA,1,3,0.333,1.0,10,14.3%,2.00,0,NA,NA,NA,NA,NA,0.100,NA,20,vs LAC,25,IR,15.5,-11.5
4,6794,Justin Jefferson,WR,26.3,MIN,8,9,17,22.6,17.6,12.6,1,1,1,76,76,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,10,94,0,5,0,11,32,126,12.6,11.5,0,0,0,126,0,NA,0,0,100.0%,NA,NA,NA,0,NA,5,11,0.455,5.0,51,23.9%,2.47,0,NA,NA,NA,NA,NA,0.098,NA,126,@ PIT,22,·,14.7,7.9
4,9493,Puka Nacua,WR,24.3,LAR,1.0,1,3,36,29.5,23,1,1,1,75,61,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,13,117,0,7,1,15,53,170,13.1,11.3,0,0,0,170,0,NA,0,0,81.3%,NA,NA,NA,0,NA,8,15,0.533,8.0,37,36.6%,4.59,0,NA,NA,NA,NA,NA,0.189,NA,170,vs IND,5,·,20.5,15.5
4,7547,Amon-Ra St. Brown,WR,25.9,DET,4.0,4,4,26,22.5,19,1,1,1,60,54,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,36,0,2,2,7,34,70,10.0,10.0,0,0,0,70,0,NA,0,0,90.0%,NA,NA,NA,0,NA,4,7,0.571,4.0,26,25.9%,2.69,0,NA,NA,NA,NA,NA,0.077,NA,70,vs CLE,8,·,17.4,8.6
