WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
13,4984,Josh Allen,QB,29.4,BUF,13,13,13,17.72,17.72,17.72,1,1,1,74,74,0,65.2,43,23,15,8,8,1,75.10,161,0,1,123,5.35,8.20,0,0,0,0,0,0,0,0,0.0,0.0,8,1,3,38,1,NA,38,4.75,100.0%,NA,NA,NA,4,NA,13,31,NA,NA,NA,NA,NA,9,39.1%,2.46,0.0%,25.9%,1.40,NA,27,161,@ PIT,7,·,26.7,-9.0
13,9509,Bijan Robinson,RB,23.7,ATL,1,1,1,30.3,27.8,25.3,1,1,1,69,60,0,0.0,0,0,0,0,0,0,0.00,142,0,0,0,0.00,0.00,5,-17,1,1,0,7,68,51,10.2,7.3,23,2,8,193,1,122,142,6.17,87.0%,9,5.30,0.391,9,0.921,10,30,0.333,10.0,NA,21.2%,NA,0,NA,NA,NA,NA,NA,NA,NA,193,@ NYJ,10,·,20.8,9.5
13,7564,Ja'Marr Chase,WR,25.6,CIN,13,16,17,18,14.5,11,1,1,1,83,82,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,101,0,5,0,14,9,110,15.7,7.9,0,0,0,110,0,NA,0,0,98.8%,NA,NA,NA,0,NA,5,14,0.357,5.0,47,30.4%,2.34,0,NA,NA,NA,NA,NA,0.106,NA,110,@ BAL,11,·,20.2,-2.2
13,9493,Puka Nacua,WR,24.3,LAR,23,25,34,13.2,10.2,7.2,1,1,1,52,38,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,6,30,0,3,0,9,42,72,12.0,8.0,0,0,0,72,0,NA,0,0,73.1%,NA,NA,NA,0,NA,3,9,0.333,3.0,26,32.1%,2.77,0,NA,NA,NA,NA,NA,0.115,NA,72,@ CAR,31,·,20.2,-7.0
13,4881,Lamar Jackson,QB,28.7,BAL,27,27,27,7.54,7.54,7.54,1,1,1,60,60,2,53.1,127,32,17,7,15,1,65.40,273,3,0,246,7.69,14.47,0,0,0,0,0,0,0,0,0.0,0.0,6,0,3,27,0,NA,27,4.5,100.0%,NA,NA,NA,3,NA,10,38,NA,NA,NA,NA,NA,7,21.9%,3.12,18.8%,39.5%,11.40,NA,38,273,vs CIN,3,·,24.6,-17.1
13,11566,Jayden Daniels,QB,24.8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs DEN,31,OUT,OUT,OUT
13,9221,Jahmyr Gibbs,RB,23.5,DET,25,28,31,11.6,10.1,8.6,1,1,1,63,44,0,0.0,0,0,0,0,0,0,0.00,68,0,0,0,0.00,0.00,3,15,1,1,0,4,3,18,6.0,4.5,20,3,3,86,0,32,68,3.4,69.8%,4,1.60,0.200,3,0.360,4,24,0.167,4.0,NA,14.8%,NA,0,NA,NA,NA,NA,NA,NA,NA,86,vs GB,23,·,22.6,-11.0
13,6794,Justin Jefferson,WR,26.3,MIN,86,95,102,2.4,1.4,0.4,1,1,1,52,50,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,-5,1,0,0,6,9,4,2.0,0.7,0,0,0,4,0,NA,0,0,96.2%,NA,NA,NA,0,NA,0,6,0.000,0.0,34,20.0%,0.12,0,NA,NA,NA,NA,NA,0.000,NA,4,@ SEA,9,·,12.4,-10.0
13,9488,Jaxon Smith-Njigba,WR,23.6,SEA,71.0,71,68,4.3,3.3,2.3,1,1,1,67,55,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,0,1,2,0,4,23,23,11.5,5.8,0,0,0,23,0,NA,0,0,82.1%,NA,NA,NA,0,NA,2,4,0.500,2.0,28,15.4%,0.82,0,NA,NA,NA,NA,NA,0.071,NA,23,vs MIN,28,·,21.9,-17.6
13,7547,Amon-Ra St. Brown,WR,25.9,DET,999.0,999,999,0,0,0,1,1,1,63,4,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,6.3%,NA,NA,NA,0,NA,0,1,0.000,0.0,2,3.7%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,vs GB,25,·,19.2,-19.2
