WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
6,4984,Josh Allen,QB,29.4,BUF,17,17,17,17.4,17.4,17.4,1,1,1,57,57,2,57.7%,120,26,15,6,11,2,72.60,222,4,2,180,6.92,12.00,0,0,0,0,0,0,0,0,0.0,0.0,6,0,2,42,0,NA,42,7,100.0%,NA,NA,NA,2,NA,10,32,NA,NA,NA,NA,NA,8,30.8%,2.83,23.1%,44.1%,11.7,NA,34,222,@ ATL,31,·,26.1,-8.7
6,4881,Lamar Jackson,QB,28.7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs LAR,17,OUT,OUT,OUT
6,7564,Ja'Marr Chase,WR,25.6,CIN,5,5,8,25.1,20.1,15.1,1,1,1,65,65,0,0.0%,0,0,0,0,0,0,0.00,-3,0,0,0,0.00,0.00,10,80,0,4,1,12,14,94,9.4,7.8,1,0,0,91,0,NA,-3,-3,100.0%,NA,NA,NA,0,NA,5,13,0.385,5.0,44,26.7%,2.14,0,NA,NA,NA,NA,NA,0.091,NA,91,@ GB,28,·,15.9,9.2
6,9509,Bijan Robinson,RB,23.7,ATL,1,1,2,35.8,32.8,29.8,1,1,1,70,52,0,0.0%,0,0,0,0,0,0,0.00,170,0,0,0,0.00,0.00,6,17,0,2,0,8,51,68,11.3,8.5,19,3,4,238,1,133,170,8.95,74.3%,8,7.00,0.421,5,1.121,7,27,0.259,7.0,NA,25.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,238,vs BUF,13,·,19.4,16.4
6,11566,Jayden Daniels,QB,24.8,WAS,5,5,5,22.64,22.64,22.64,1,1,1,65,65,2,73.1%,141,26,19,8,7,1,119.20,263,3,3,211,8.12,11.11,0,0,0,0,0,0,0,0,0.0,0.0,10,1,2,52,0,NA,52,5.2,100.0%,NA,NA,NA,2,NA,13,36,NA,NA,NA,NA,NA,11,42.3%,2.50,7.7%,36.1%,7.8,NA,36,263,vs CHI,15,·,23.0,-0.4
6,9221,Jahmyr Gibbs,RB,23.5,DET,31,26,22,7.5,7,6.5,1,1,1,54,37,0,0.0%,0,0,0,0,0,0,0.00,65,0,0,0,0.00,0.00,1,-6,0,0,0,2,6,0,0.0,0.0,17,1,3,65,0,51,65,3.82,68.5%,1,3.00,0.059,3,0.359,3,19,0.158,3.0,NA,6.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,65,@ KC,22,·,19.5,-12.0
6,11632,Malik Nabers,WR,22.2,NYG,999,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs PHI,15,IR,IR,IR
6,6794,Justin Jefferson,WR,26.3,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,BYE,BYE
6,9493,Puka Nacua,WR,24.3,LAR,68.0,66,58,4.8,3.8,2.8,1,1,1,53,27,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,20,0,2,0,3,8,28,14.0,9.3,0,0,0,28,0,NA,0,0,50.9%,NA,NA,NA,0,NA,2,3,0.667,2.0,15,11.5%,1.87,0,NA,NA,NA,NA,NA,0.133,NA,28,@ BAL,2,Q,22.3,-17.5
6,7547,Amon-Ra St. Brown,WR,25.9,DET,20.0,29,42,13.7,9.2,4.7,1,1,1,54,48,1,0.0%,0,0,0,0,0,0,0.00,2,0,0,0,0.00,0.00,9,35,1,3,0,10,10,45,5.0,4.5,1,0,0,47,0,NA,2,2,88.9%,NA,NA,NA,0,NA,3,11,0.273,3.0,29,34.5%,1.55,0,NA,NA,NA,NA,NA,0.103,NA,47,@ KC,31,·,19.1,-5.4
6,11604,Brock Bowers,TE,22.8,LV,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs TEN,22,OUT,OUT,OUT
6,6904,Jalen Hurts,QB,27.1,PHI,8.0,8,8,21.62,21.62,21.62,1,1,1,57,57,0,72.7%,190,33,24,13,9,1,95.90,296,3,1,283,8.58,11.79,0,0,0,0,0,0,0,0,0.0,0.0,7,0,1,13,1,NA,13,1.86,100.0%,NA,NA,NA,2,NA,16,40,NA,NA,NA,NA,NA,14,42.4%,3.42,12.1%,18.4%,9.2,NA,38,296,@ NYG,14,·,22.7,-1.1
6,6786,CeeDee Lamb,WR,26.5,DAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ CAR,29,OUT,OUT,OUT
6,6797,Justin Herbert,QB,27.6,LAC,15.0,15,15,18.76,18.76,18.76,1,1,1,64,64,0,76.3%,104,38,29,10,9,0,112.20,266,1,2,264,6.95,9.10,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,2,0,NA,2,2,100.0%,NA,NA,NA,1,NA,13,39,NA,NA,NA,NA,NA,12,31.6%,3.01,11.1%,37.8%,5.7,NA,37,266,@ MIA,3,·,21.4,-2.6
6,9488,Jaxon Smith-Njigba,WR,23.6,SEA,3.0,3,2,30.2,26.2,22.2,1,1,1,55,45,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,127,1,5,1,13,35,162,20.3,12.5,0,0,0,162,0,NA,0,0,81.8%,NA,NA,NA,0,NA,6,13,0.462,6.0,27,48.1%,6.00,0,NA,NA,NA,NA,NA,0.185,NA,162,@ JAX,24,·,20.1,10.1
6,12514,Emeka Egbuka,WR,23.0,TB,71.0,69,66,4.4,3.4,2.4,1,1,1,53,28,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,18,1,1,0,4,6,24,12.0,6.0,0,0,0,24,0,NA,0,0,52.8%,NA,NA,NA,0,NA,1,4,0.250,1.0,16,17.4%,1.50,0,NA,NA,NA,NA,NA,0.063,NA,24,vs SF,18,OUT,16.9,-12.5
