WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
7,4984,Josh Allen,QB,29.6,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,NA,NA
7,9488,Jaxon Smith-Njigba,WR,23.8,SEA,7,7,6,26.3,22.3,18.3,1,1,1,72,63,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,8,93,0,5,1,14,30,123,15.4,8.8,0,0,0,123,0,NA,0,0,87.5%,NA,NA,NA,0,NA,6,14,0.429,6.0,33,43.8%,3.73,0,NA,NA,NA,NA,NA,0.152,NA,123,vs HOU,29,·,NA,NA
7,7564,Ja'Marr Chase,WR,25.8,CIN,1,1,3,38.1,30.1,22.1,1,1,1,76,75,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,16,72,1,8,1,23,89,161,10.1,7.0,0,0,0,161,0,NA,0,0,98.7%,NA,NA,NA,0,NA,9,23,0.391,9.0,48,48.9%,3.35,0,NA,NA,NA,NA,NA,0.167,NA,161,vs PIT,19,·,NA,NA
7,9221,Jahmyr Gibbs,RB,23.7,DET,2,2,1,36.8,35.3,33.8,1,1,1,68,38,0,0.0%,0,0,0,0,0,0,0.00,136,0,0,0,0.00,0.00,3,-10,0,3,0,3,92,82,27.3,27.3,17,2,3,218,2,49,136,8,55.9%,8,2.90,0.471,5,0.761,8,20,0.400,8.0,NA,10.3%,NA,0,NA,NA,NA,NA,NA,NA,NA,218,vs TB,11,·,NA,NA
7,11564,Drake Maye,QB,23.3,NE,10,10,10,23.08,23.08,23.08,1,1,1,65,55,0,91.3%,162,23,21,10,2,0,135.90,284,4,2,222,9.65,10.57,0,0,0,0,0,0,0,0,0.0,0.0,8,0,3,62,0,NA,62,7.75,84.6%,NA,NA,NA,3,NA,15,31,NA,NA,NA,NA,NA,12,52.2%,2.60,4.3%,37.1%,8.2,NA,35,284,@ TEN,29,·,NA,NA
7,9509,Bijan Robinson,RB,23.8,ATL,5,9,12,21.2,18.2,15.2,1,1,1,65,57,0,0.0%,0,0,0,0,0,0,0.00,40,0,0,0,0.00,0.00,6,-6,0,2,1,8,58,52,8.7,6.5,14,0,1,92,0,43,40,2.86,87.7%,8,3.10,0.571,1,0.881,4,22,0.182,4.0,NA,21.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,92,@ SF,19,·,NA,NA
7,9493,Puka Nacua,WR,24.5,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ JAX,8,OUT,NA,NA
7,4881,Lamar Jackson,QB,28.9,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,BYE,BYE,BYE,NA,NA
7,11632,Malik Nabers,WR,22.4,NYG,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ DEN,31,IR,NA,NA
7,11604,Brock Bowers,TE,23.0,LV,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ KC,27,D,NA,NA
