SZN,SLPR_ID,PLAYER NAME,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),VS,vsRK,INJ,PROJ,FPOE
2,10867,Jake Bobo,WR,27.1,SEA,999.0,999,999,0,0,0,1,1,0,65,10,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,15.4%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ PIT,22,·,0.6,-0.6
2,6865,Colby Parkinson,TE,26.7,LAR,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ TEN,22,Q,Q,Q
2,7610,Trey Lance,QB,25.4,LAC,999.0,999,999,0,0,0,1,0,0,58,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ LV,13,·,DNP,DNP
2,8139,Zamir White,RB,26.0,LV,55.0,60,64,3.3,2.3,1.3,1,1,0,70,21,0,0.0%,0,0,0,0,0,0,0.00,-2,0,0,0,0.00,0.00,2,1,0,0,0,3,14,15,7.5,5.0,2,0,0,13,0,3,-2,-1,30.0%,0,1.40,0.000,0,0.140,0,5,0.000,0.0,NA,7.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,13,vs LAC,25,·,2.5,0.8
2,6960,Tyler Johnson,WR,27.1,NYJ,999.0,999,999,0,0,0,1,1,1,47,45,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,1,0,0,1,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,95.7%,NA,NA,NA,0,NA,0,1,0.000,0.0,25,4.5%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,vs BUF,20,·,5.0,-5.0
2,8230,Ty Chandler,RB,27.4,MIN,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs ATL,32,IR,IR,IR
2,4171,Josh Reynolds,WR,30.6,NYJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs BUF,20,·,DNP,DNP
2,6828,AJ Dillon,RB,27.4,PHI,63.0,61,57,1.9,1.9,1.9,1,1,0,60,10,0,0.0%,0,0,0,0,0,0,0.00,19,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,3,0,1,19,0,14,19,6.33,16.7%,1,4.70,0.333,1,0.803,1,3,0.333,1.0,NA,0.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,19,@ KC,22,·,2.3,-0.4
2,3286,Demarcus Robinson,WR,31.0,SF,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ NO,19,·,DNP,DNP
2,11370,Chris Brooks,RB,25.7,GB,45.0,45,48,5.7,4.2,2.7,1,1,0,68,13,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,-9,1,0,0,4,36,27,9.0,6.8,0,0,0,27,0,0,0,0,19.1%,1,0.00,NA,0,NA,0,4,0.000,0.0,NA,12.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,27,vs WAS,21,·,3.4,2.3
2,7601,Rondale Moore,WR,25.3,MIN,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs ATL,30,IR,IR,IR
2,11595,Jared Wiley,TE,24.9,KC,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs PHI,29,OUT,OUT,OUT
2,2197,Brandin Cooks,WR,32.0,NO,85.0,84,85,4.6,3.6,2.6,1,1,0,71,48,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,25,0,2,0,2,1,26,13.0,13.0,0,0,0,26,0,NA,0,0,67.6%,NA,NA,NA,0,NA,2,2,1.000,2.0,30,5.9%,0.87,0,NA,NA,NA,NA,NA,0.067,NA,26,vs SF,18,·,4.3,0.3
2,11256,Tyson Bagent,QB,25.3,CHI,36.0,36,36,1.78,1.78,1.78,1,1,0,68,11,1,66.7%,13,3,2,1,1,0,95.10,34,0,0,27,9.00,13.50,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,7,0,NA,7,3.5,16.2%,NA,NA,NA,0,NA,1,5,NA,NA,NA,NA,NA,1,33.3%,3.08,33.3%,0.0%,11.2,NA,4,34,@ DET,11,·,DNP,DNP
2,4219,Jeremy McNichols,RB,29.7,WAS,999.0,999,999,0,0,0,1,1,0,69,16,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,23.2%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ GB,31,·,0.9,-0.9
2,8168,Skyy Moore,WR,25.0,SF,999.0,999,999,0,0,0,1,1,0,71,2,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,2.8%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ NO,19,·,0.2,-0.2
2,4080,Zay Jones,WR,30.5,ARI,999.0,999,999,0,0,0,1,1,0,55,28,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,50.9%,NA,NA,NA,0,NA,0,0,NA,0.0,15,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,vs CAR,29,·,1.5,-1.5
2,11199,Emari Demercado,RB,26.6,ARI,999.0,999,999,0,0,0,1,1,0,55,1,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,1.8%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs CAR,16,·,1.4,-1.4
2,7568,Brevin Jordan,TE,25.2,HOU,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs TB,8,IR,IR,IR
2,9227,Israel Abanikanda,RB,23.0,FA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,,·,DNP,DNP
2,12715,Thomas Fidone,TE,23.0,NYG,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ DAL,9,·,DNP,DNP
2,8172,Greg Dulcich,TE,25.5,MIA,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs NE,5,·,DNP,DNP
2,10214,Davis Allen,TE,24.6,LAR,16.0,13,11,7.8,7.3,6.8,1,1,0,61,25,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,5,0,0,1,1,3,8,8.0,8.0,0,0,0,8,0,NA,0,0,41.0%,NA,NA,NA,0,NA,1,1,1.000,1.0,4,3.0%,2.00,0,NA,NA,NA,NA,NA,0.000,NA,8,@ TEN,22,·,0.6,7.2
2,2505,Darren Waller,TE,33.0,MIA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs NE,5,·,DNP,DNP
2,9999,Will Levis,QB,26.2,TEN,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs LAR,17,IR,IR,IR
2,10866,Aidan O'Connell,QB,27.0,LV,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs LAC,18,IR,IR,IR
2,11306,Xavier Gipson,WR,24.5,NYG,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ DAL,1,OUT,OUT,OUT
2,11748,Bub Means,WR,24.7,NO,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs SF,18,IR,IR,IR
2,4177,Mack Hollins,WR,32.0,NE,66.0,53,47,7.8,7.3,6.8,1,1,1,60,39,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,8,0,0,1,2,0,8,8.0,4.0,0,0,0,8,0,NA,0,0,65.0%,NA,NA,NA,0,NA,1,2,0.500,1.0,13,8.7%,0.62,0,NA,NA,NA,NA,NA,0.000,NA,8,@ MIA,21,·,2.6,5.2
2,1837,Jimmy Garoppolo,QB,33.9,LAR,999.0,999,999,0,0,0,1,0,0,61,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ TEN,23,·,DNP,DNP
2,8254,Julius Chestnut,RB,24.9,TEN,999.0,999,999,0,0,0,1,1,0,66,7,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,10.6%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs LAR,30,·,2.3,-2.3
2,5854,Drew Lock,QB,28.8,SEA,999.0,999,999,0,0,0,1,0,0,65,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ PIT,9,·,DNP,DNP
2,11615,Ainias Smith,WR,24.3,CAR,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ ARI,14,·,DNP,DNP
2,12699,LaJohntay Wester,WR,23.5,BAL,999.0,999,999,0,0,0,1,1,0,56,3,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,5.4%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs CLE,8,·,DNP,DNP
2,11649,Kendall Milton,RB,23.6,CIN,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs JAX,29,·,DNP,DNP
2,11636,Johnny Wilson,WR,24.4,PHI,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ KC,31,IR,IR,IR
2,8123,Hassan Haskins,RB,25.8,LAC,999.0,999,999,0,0,0,1,1,0,58,1,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,1.7%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ LV,10,·,DNP,DNP
2,11895,Mason Tipton,WR,25.0,NO,999.0,999,999,0,0,0,1,0,0,71,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs SF,18,·,DNP,DNP
2,4351,Tim Patrick,WR,31.8,JAX,999.0,999,999,0,0,0,1,1,0,71,12,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,16.9%,NA,NA,NA,0,NA,0,1,0.000,0.0,7,2.4%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,@ CIN,11,·,0.5,-0.5
2,8145,Jeremy Ruckert,TE,25.1,NYJ,20.0,15,12,7.5,7,6.5,1,1,1,47,17,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,5,0,0,1,1,0,5,5.0,5.0,0,0,0,5,0,NA,0,0,36.2%,NA,NA,NA,0,NA,1,1,1.000,1.0,7,4.5%,0.71,0,NA,NA,NA,NA,NA,0.000,NA,5,vs BUF,30,·,2.8,4.7
2,12494,Kyle McCord,QB,23.0,PHI,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ KC,30,·,DNP,DNP
2,11573,Frank Gore Jr.,RB,23.5,BUF,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,@ NYJ,9,·,DNP,DNP
2,4147,Samaje Perine,RB,30.0,CIN,999.0,999,999,0,0,0,1,1,0,69,20,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,29.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs JAX,29,·,3.7,-3.7
2,8177,Grant Calcaterra,TE,26.8,PHI,50.0,50,50,1.6,1.1,0.6,1,1,1,60,53,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,6,0,0,0,2,0,6,6.0,3.0,0,0,0,6,0,NA,0,0,88.3%,NA,NA,NA,0,NA,0,2,0.000,0.0,20,9.1%,0.30,0,NA,NA,NA,NA,NA,0.000,NA,6,@ KC,31,OUT,4.1,-2.5
2,6011,Gardner Minshew,QB,29.3,KC,999.0,999,999,0,0,0,1,0,0,60,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs PHI,16,·,DNP,DNP
2,4381,Taysom Hill,TE,35.1,NO,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs SF,3,·,DNP,DNP
2,5987,Alexander Mattison,RB,27.2,MIA,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,vs NE,27,IR,IR,IR
2,7595,Tylan Wallace,WR,26.3,BAL,44.0,40,36,10.5,9.5,8.5,1,1,1,56,28,0,0.0%,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,18,0,1,1,2,7,25,12.5,12.5,0,0,0,25,0,NA,0,0,50.0%,NA,NA,NA,0,NA,2,2,1.000,2.0,15,6.9%,1.67,0,NA,NA,NA,NA,NA,0.067,NA,25,vs CLE,8,·,1.2,9.3
