WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CMPOE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
15,5012,Mark Andrews,TE,30.1,BAL,39.0,40,39,3.8,2.8,1.8,1,1,1,41,17,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,18,0,1,0,3,0,18,9.0,6.0,0,0,0,18,0,NA,0,0,41.5%,NA,NA,NA,0,NA,1,3,0.333,1.0,10,25.0%,1.80,0,NA,NA,NA,NA,NA,0.100,NA,18,NA,NA,@ CIN,1,·,11.3,-7.5
15,12483,Jack Bech,WR,22.8,LV,81.0,82,83,3.7,2.7,1.7,1,1,1,42,34,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,15,0,0,0,3,2,17,8.5,5.7,0,0,0,17,0,NA,0,0,81.0%,NA,NA,NA,0,NA,0,3,0.000,0.0,24,12.0%,0.71,0,NA,NA,NA,NA,NA,0.000,NA,17,NA,NA,@ PHI,20,·,3.4,0.3
15,7571,Rashod Bateman,WR,25.8,BAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ CIN,27,OUT,OUT,OUT
15,11655,Tyrone Tracy,RB,25.8,NYG,5.0,5,4,24.7,23.2,21.7,1,1,1,68,52,0,0.0,0,0,0,0,0,0,0.00,70,0,0,0,0.00,0.00,3,17,0,0,1,3,10,27,9.0,9.0,15,2,4,97,1,56,70,4.67,76.5%,6,3.70,0.400,5,0.770,6,18,0.333,6.0,NA,8.1%,NA,0,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,vs WAS,6,·,11.5,13.2
15,7002,Juwan Johnson,TE,29.0,NO,22.0,24,26,7,5,3,1,1,0,69,42,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,16,0,2,0,4,14,30,7.5,7.5,0,0,0,30,0,NA,0,0,60.9%,NA,NA,NA,0,NA,2,4,0.500,2.0,27,12.1%,1.11,0,NA,NA,NA,NA,NA,0.074,NA,30,NA,NA,vs CAR,10,·,10.3,-3.3
15,12457,Jaydon Blue,RB,21.7,DAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs MIN,22,OUT,OUT,OUT
15,1466,Travis Kelce,TE,36.0,KC,10.0,10,12,14,10.5,7,1,1,1,61,60,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,7,46,0,5,0,9,24,70,10.0,7.8,0,0,0,70,0,NA,0,0,98.4%,NA,NA,NA,0,NA,5,9,0.556,5.0,39,27.3%,1.79,0,NA,NA,NA,NA,NA,0.128,NA,70,NA,NA,vs LAC,25,·,10.9,3.1
15,4199,Aaron Jones,RB,30.8,MIN,32.0,32,36,9.5,8,6.5,1,1,1,55,32,0,0.0,0,0,0,0,0,0,0.00,34,0,0,0,0.00,0.00,3,-4,0,1,0,3,35,31,10.3,10.3,12,0,3,65,0,28,34,2.83,58.2%,4,2.30,0.333,3,0.563,4,15,0.267,4.0,NA,12.5%,NA,0,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,@ DAL,8,·,12.9,-3.4
15,8167,Christian Watson,WR,26.4,GB,62.0,67,70,5.9,4.4,2.9,1,1,1,66,27,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,21,0,1,0,5,8,29,9.7,5.8,0,0,0,29,0,NA,0,0,40.9%,NA,NA,NA,0,NA,1,5,0.200,1.0,19,12.5%,1.53,0,NA,NA,NA,NA,NA,0.053,NA,29,NA,NA,@ DEN,28,OUT,10.7,-4.8
15,4981,Calvin Ridley,WR,30.8,TEN,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ SF,29,IR,IR,IR
15,11597,Theo Johnson,TE,24.6,NYG,14.0,12,11,10.2,8.7,7.2,1,1,1,68,59,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,33,0,2,0,4,39,72,24.0,18.0,0,0,0,72,0,NA,0,0,86.8%,NA,NA,NA,0,NA,2,4,0.500,2.0,31,10.8%,2.32,0,NA,NA,NA,NA,NA,0.065,NA,72,NA,NA,vs WAS,3,·,9.4,0.8
15,12487,Terrance Ferguson,TE,22.6,LAR,56.0,56,54,1.6,1.1,0.6,1,1,0,72,56,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,5,0,0,0,2,1,6,6.0,3.0,0,0,0,6,0,NA,0,0,77.8%,NA,NA,NA,0,NA,0,2,0.000,0.0,29,5.3%,0.21,0,NA,NA,NA,NA,NA,0.000,NA,6,NA,NA,vs DET,23,·,3.4,-1.8
15,12493,Oronde Gadsden,TE,22.3,LAC,15.0,15,16,10.1,8.1,6.1,1,1,1,66,34,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,47,0,4,0,5,14,61,15.3,12.2,0,0,0,61,0,NA,0,0,51.5%,NA,NA,NA,0,NA,4,5,0.800,4.0,20,17.2%,3.05,0,NA,NA,NA,NA,NA,0.200,NA,61,NA,NA,@ KC,27,·,10.1,0.0
15,12503,Isaiah Bond,WR,21.5,CLE,36.0,29,27,10.9,9.9,8.9,1,1,0,57,39,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,77,0,2,0,4,12,89,44.5,22.3,0,0,0,89,0,NA,0,0,68.4%,NA,NA,NA,0,NA,2,4,0.500,2.0,32,11.4%,2.78,0,NA,NA,NA,NA,NA,0.063,NA,89,NA,NA,@ CHI,4,·,4.6,6.3
15,12471,DJ Giddens,RB,22.1,IND,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ SEA,17,OUT,OUT,OUT
15,12547,Kyle Williams,WR,22.9,NE,999.0,999,999,0,0,0,1,1,0,52,5,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,9.6%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs BUF,18,·,0.9,-0.9
15,11600,Ja'Tavion Sanders,TE,22.5,CAR,49.0,51,55,2.5,1.5,0.5,1,1,1,57,30,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,3,0,0,0,2,2,5,2.5,2.5,0,0,0,5,0,NA,0,0,52.6%,NA,NA,NA,0,NA,0,2,0.000,0.0,20,8.3%,0.25,0,NA,NA,NA,NA,NA,0.000,NA,5,NA,NA,@ NO,22,·,5.6,-3.1
15,5848,Marquise Brown,WR,28.3,KC,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs LAC,31,OUT,OUT,OUT
15,1373,Geno Smith,QB,35.0,LV,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ PHI,19,OUT,OUT,OUT
15,8154,Brian Robinson,RB,26.5,SF,63.0,57,54,2.1,2.1,2.1,1,1,0,74,12,0,0.0,0,0,0,0,0,0,0.00,21,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,9,0,1,21,0,20,21,2.33,16.2%,1,2.20,0.111,1,0.331,1,9,0.111,1.0,NA,0.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,vs TEN,13,·,4.1,-2.0
15,8188,Tyquan Thornton,WR,25.1,KC,56.0,56,50,6.7,5.7,4.7,1,1,1,61,31,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,42,0,1,0,3,5,47,23.5,15.7,0,0,0,47,0,NA,0,0,50.8%,NA,NA,NA,0,NA,1,3,0.333,1.0,20,9.1%,2.35,0,NA,NA,NA,NA,NA,0.050,NA,47,NA,NA,vs LAC,31,·,4.2,2.5
15,8111,Cade Otton,TE,26.4,TB,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs ATL,30,OUT,OUT,OUT
15,12455,Brashard Smith,RB,22.5,KC,79.0,79,79,0.1,0.1,0.1,1,1,0,61,3,0,0.0,0,0,0,0,0,0,0.00,1,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,1,0,NA,1,0.5,4.9%,NA,NA,NA,0,NA,0,2,0.000,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,vs LAC,19,·,2.5,-2.4
15,9502,Tank Dell,WR,25.9,HOU,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs ARI,17,PUP,PUP,PUP
15,7527,Mac Jones,QB,27.1,SF,999.0,999,999,0,0,0,1,0,0,74,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs TEN,9,·,·,·
15,8142,Alec Pierce,WR,25.4,IND,89.0,88,86,2.6,2.1,1.6,1,1,1,60,60,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,16,0,1,0,1,0,16,16.0,16.0,0,0,0,16,0,NA,0,0,100.0%,NA,NA,NA,0,NA,1,1,1.000,1.0,28,3.7%,0.57,0,NA,NA,NA,NA,NA,0.036,NA,16,NA,NA,@ SEA,12,·,10.8,-8.2
15,11625,Adonai Mitchell,WR,23.0,NYJ,14.0,15,18,17.4,14.4,11.4,1,1,0,68,54,0,0.0,0,0,0,0,0,0,0.00,-4,0,0,0,0.00,0.00,6,59,0,3,1,9,-1,58,9.7,6.4,1,0,0,54,0,NA,-4,-4,79.4%,NA,NA,NA,0,NA,4,10,0.400,4.0,36,27.3%,1.61,0,NA,NA,NA,NA,NA,0.083,NA,54,NA,NA,@ JAX,16,·,9.7,7.7
15,9486,Dontayvion Wicks,WR,24.3,GB,98.0,98,98,1.6,1.1,0.6,1,1,0,66,28,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,6,1,0,0,2,0,6,6.0,3.0,0,0,0,6,0,NA,0,0,42.4%,NA,NA,NA,0,NA,0,2,0.000,0.0,21,5.0%,0.29,0,NA,NA,NA,NA,NA,0.000,NA,6,NA,NA,@ DEN,28,·,3.3,-1.7
15,12492,Pat Bryant,WR,22.8,DEN,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs GB,21,OUT,OUT,OUT
15,4066,Evan Engram,TE,31.1,DEN,50.0,49,48,2.2,1.7,1.2,1,1,0,68,19,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,3,0,0,0,3,9,12,12.0,4.0,0,0,0,12,0,NA,0,0,27.9%,NA,NA,NA,0,NA,0,3,0.000,0.0,14,8.8%,0.86,0,NA,NA,NA,NA,NA,0.000,NA,12,NA,NA,vs GB,21,·,7.6,-5.4
15,11603,AJ Barner,TE,23.4,SEA,27.0,27,30,5.7,4.2,2.7,1,1,1,60,50,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,7,0,2,0,6,20,27,9.0,4.5,0,0,0,27,0,NA,0,0,83.3%,NA,NA,NA,0,NA,2,6,0.333,2.0,27,16.7%,1.00,0,NA,NA,NA,NA,NA,0.074,NA,27,NA,NA,vs IND,8,·,9.4,-3.7
15,7567,Kenneth Gainwell,RB,26.5,PIT,9.0,11,16,19.6,16.1,12.6,1,1,0,66,34,0,0.0,0,0,0,0,0,0,0.00,80,0,0,0,0.00,0.00,7,-1,0,3,0,7,47,46,6.6,6.6,13,0,3,126,0,68,80,6.15,51.5%,6,5.20,0.462,3,0.982,6,20,0.300,6.0,NA,25.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,vs MIA,18,·,12.4,7.2
15,96,Aaron Rodgers,QB,41.8,PIT,18.0,18,18,16.96,16.96,16.96,1,1,1,66,66,0,85.2,50,27,23,9,4,0,125.90,224,3,2,224,8.30,9.74,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,100.0%,NA,NA,NA,0,NA,11,27,NA,NA,NA,NA,NA,11,40.7%,2.32,3.7%,13.3%,3.30,NA,30,224,+5.2%,+0.33,vs MIA,12,·,18.9,-1.9
15,11626,Xavier Legette,WR,24.7,CAR,61.0,59,56,5.9,4.9,3.9,1,1,0,57,42,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,36,0,1,0,3,3,39,19.5,13.0,0,0,0,39,0,NA,0,0,73.7%,NA,NA,NA,0,NA,1,3,0.333,1.0,27,12.5%,1.44,0,NA,NA,NA,NA,NA,0.037,NA,39,NA,NA,@ NO,22,·,7.1,-1.2
15,4039,Cooper Kupp,WR,32.3,SEA,40.0,45,51,9.6,7.1,4.6,1,1,1,60,45,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,19,0,1,0,7,27,46,9.2,6.6,0,0,0,46,0,NA,0,0,75.0%,NA,NA,NA,0,NA,1,7,0.143,1.0,29,19.4%,1.59,0,NA,NA,NA,NA,NA,0.034,NA,46,NA,NA,vs IND,7,·,8.6,1.0
15,11610,Malik Washington,WR,24.7,MIA,92.0,92,92,2,1.5,1,1,1,1,50,28,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,1,0,0,0,1,9,10,10.0,10.0,0,0,0,10,0,NA,0,0,56.0%,NA,NA,NA,0,NA,0,1,0.000,0.0,24,3.6%,0.42,0,NA,NA,NA,NA,NA,0.000,NA,10,NA,NA,@ PIT,8,·,8.4,-6.4
15,11583,Jonathon Brooks,RB,22.2,CAR,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ NO,15,PUP,PUP,PUP
15,8210,Chigoziem Okonkwo,TE,26.0,TEN,21.0,23,25,7.3,5.3,3.3,1,1,1,53,30,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,4,-1,0,2,0,6,34,33,8.3,5.5,0,0,0,33,0,NA,0,0,56.6%,NA,NA,NA,0,NA,2,6,0.333,2.0,17,20.7%,1.94,0,NA,NA,NA,NA,NA,0.118,NA,33,NA,NA,@ SF,5,·,5.7,1.6
15,12524,Shedeur Sanders,QB,23.6,CLE,31.0,31,31,6.48,6.48,6.48,1,1,1,57,57,0,51.4,118,35,18,7,17,3,30.30,201,5,0,177,5.06,9.83,0,0,0,0,0,0,0,0,0.0,0.0,2,0,1,24,0,NA,24,12,100.0%,NA,NA,NA,1,NA,8,37,NA,NA,NA,NA,NA,7,20.0%,NA,NA,NA,NA,NA,NA,201,NA,NA,@ CHI,8,·,17.8,-11.3
15,8125,Calvin Austin III,WR,26.5,PIT,999.0,999,999,0,0,0,1,1,0,66,18,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,27.3%,NA,NA,NA,0,NA,0,1,0.000,0.0,12,3.7%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,vs MIA,25,·,6.4,-6.4
15,1339,Zach Ertz,TE,34.9,WAS,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ NYG,24,IR,IR,IR
15,11575,Ray Davis,RB,25.9,BUF,61.0,63,63,2.3,1.8,1.3,1,1,0,70,6,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,-1,0,1,0,1,14,13,13.0,13.0,0,0,0,13,0,0,0,0,8.6%,0,0.00,NA,0,NA,1,1,1.000,1.0,NA,3.6%,NA,0,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,@ NE,32,·,1.9,0.4
15,9501,Demario Douglas,WR,24.8,NE,103.0,102,99,0.5,0.5,0.5,1,1,0,52,10,0,0.0,0,0,0,0,0,0,0.00,5,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,5,0,NA,5,5,19.2%,NA,NA,NA,0,NA,0,1,0.000,0.0,6,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,5,NA,NA,vs BUF,18,·,5.3,-4.8
15,7600,Pat Freiermuth,TE,26.9,PIT,20.0,20,21,7.5,6,4.5,1,1,0,66,28,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,10,0,2,0,5,35,45,15.0,9.0,0,0,0,45,0,NA,0,0,42.4%,NA,NA,NA,0,NA,2,5,0.400,2.0,14,18.5%,3.21,0,NA,NA,NA,NA,NA,0.143,NA,45,NA,NA,vs MIA,4,·,6.2,1.3
15,9482,Michael Mayer,TE,24.2,LV,999.0,999,999,0,0,0,1,1,0,42,8,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,19.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ PHI,31,·,4.9,-4.9
15,6826,Cole Kmet,TE,26.6,CHI,31.0,30,28,4.8,3.8,2.8,1,1,1,66,48,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,2,1,1,2,0,4,27,28,14.0,7.0,0,0,0,28,0,NA,0,0,72.7%,NA,NA,NA,0,NA,2,4,0.500,2.0,15,14.3%,1.87,0,NA,NA,NA,NA,NA,0.133,NA,28,NA,NA,vs CLE,20,·,5.2,-0.4
15,12531,Trevor Etienne,RB,21.2,CAR,999.0,999,999,0,0,0,1,1,0,57,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ NO,15,·,0.7,-0.7
15,9229,Anthony Richardson,QB,23.4,IND,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ SEA,13,IR,IR,IR
15,11650,Luke McCaffrey,WR,24.5,WAS,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ NYG,5,IR,IR,IR
15,9487,Parker Washington,WR,23.5,JAX,48.0,47,45,8.3,6.8,5.3,1,1,0,62,28,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,3,53,0,2,0,3,0,53,17.7,17.7,0,0,0,53,0,NA,0,0,45.2%,NA,NA,NA,0,NA,2,3,0.667,2.0,21,9.4%,2.52,0,NA,NA,NA,NA,NA,0.095,NA,53,NA,NA,vs NYJ,23,·,7.5,0.8
15,12505,Jalen Royals,WR,22.6,KC,999.0,999,999,0,0,0,1,0,0,61,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,0.0%,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs LAC,31,·,0.1,-0.1
15,4018,Joe Mixon,RB,29.2,HOU,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs ARI,4,PUP,PUP,PUP
15,12641,Jaylin Lane,WR,23.4,WAS,60.0,51,41,6,6,6,1,1,0,61,28,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,45.9%,NA,NA,NA,0,NA,0,1,0.000,0.0,13,5.3%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,@ NYG,5,·,0.8,5.2
15,9511,Keaton Mitchell,RB,23.7,BAL,42.0,38,34,6.6,6.6,6.6,1,1,0,41,16,0,0.0,0,0,0,0,0,0,0.00,66,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,8,0,3,66,0,50,66,8.25,39.0%,2,6.30,0.250,3,0.880,3,9,0.333,3.0,NA,8.3%,NA,0,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,@ CIN,1,·,5.2,1.4
15,4950,Christian Kirk,WR,28.9,HOU,999.0,999,999,0,0,0,1,1,0,67,16,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,23.9%,NA,NA,NA,0,NA,0,0,NA,0.0,12,0.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,vs ARI,17,·,5.5,-5.5
15,4137,James Conner,RB,30.4,ARI,999.0,999,999,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ HOU,24,IR,IR,IR
15,4988,Nick Chubb,RB,29.8,HOU,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,vs ARI,4,OUT,OUT,OUT
15,9506,Sean Tucker,RB,23.9,TB,41.0,37,33,6.7,6.7,6.7,1,1,0,69,8,0,0.0,0,0,0,0,0,0,0.00,7,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,4,0,0,7,1,5,7,1.75,11.6%,1,1.30,0.250,1,0.380,1,4,0.250,1.0,NA,0.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,vs ATL,11,·,2.5,4.2
15,4144,Jonnu Smith,TE,30.1,PIT,13.0,11,10,10.6,9.6,8.6,1,1,1,66,19,0,0.0,0,0,0,0,0,0,0.00,14,0,0,0,0.00,0.00,2,-2,0,1,0,2,14,12,6.0,6.0,1,0,0,26,1,NA,14,14,28.8%,NA,NA,NA,1,NA,2,3,0.667,2.0,9,7.4%,1.33,0,NA,NA,NA,NA,NA,0.111,NA,26,NA,NA,vs MIA,4,·,4.8,5.8
15,7607,Michael Carter,RB,26.4,ARI,19.0,22,25,13.4,11.4,9.4,1,1,0,66,53,0,0.0,0,0,0,0,0,0,0.00,56,0,0,0,0.00,0.00,4,3,0,2,0,4,35,38,9.5,9.5,14,0,4,94,0,31,56,4,80.3%,2,2.20,0.143,4,0.363,6,18,0.333,6.0,NA,10.0%,NA,0,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,@ HOU,24,·,4.3,9.1
15,11647,Kimani Vidal,RB,24.1,LAC,44.0,44,40,5.8,5.3,4.8,1,1,1,66,42,0,0.0,0,0,0,0,0,0,0.00,33,0,0,0,0.00,0.00,1,-4,0,1,0,1,19,15,15.0,15.0,12,0,1,48,0,25,33,2.75,63.6%,4,2.10,0.333,1,0.543,2,13,0.154,2.0,NA,3.4%,NA,0,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,@ KC,26,·,9.6,-3.8
