WK,SLPR_ID,NM,POS,AGE,TM,PRK_PPR,PRK_0.5P,PRK_STD,FPT_PPR,FPTS_0.5,FPTS_STD,GM_ACTV,GM_P,GM,TM_SNP,SNP,FUM,CMP PCT,paAY,paATT,CMP,pa1D,INC,INT,paRTG,pa.ruYDS,SAC,paTD,paYDS,paYPA,paYPC,REC,recAY,DRP,rec1D,recTD,TGT,YAC,recYDS,YPR,YPT,CAR,BTKL,ru1D,ru.recYDS,ruTD,YCO,ruYDS,YPC,SNP%,MTF,YCO/A,MTF/A,ruIMP,ELU,IMP,OPP,IMP/OPP,IMP/G,RR,TS%,YPRR,pIMP,pIMP/A,TTT,DP%,PRS%,AYA,1DRR,DB,YDS(t),CMPOE,EPA/DB,VS,vsRK,INJ,PROJ,FPOE
15,12495,Ollie Gordon,RB,21.7,MIA,999.0,999,999,0,0,0,1,1,0,50,6,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,NA,0,0,12.0%,NA,NA,NA,0,NA,0,2,0.000,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ PIT,23,·,2.7,-2.7
15,5967,Tony Pollard,RB,28.4,TEN,11.0,9,9,18.2,17.7,17.2,1,1,1,53,28,0,0.0,0,0,0,0,0,0,0.00,104,0,0,0,0.00,0.00,1,1,0,1,0,2,7,8,8.0,4.0,14,1,3,112,1,71,104,7.43,52.8%,2,5.10,0.143,4,0.653,5,16,0.313,5.0,NA,6.9%,NA,0,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,@ SF,27,·,9.3,8.9
15,12535,Isaac TeSlaa,WR,23.6,DET,999.0,999,999,0,0,0,1,1,0,64,40,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,62.5%,NA,NA,NA,0,NA,0,1,0.000,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ LAR,15,·,3.0,-3.0
15,9504,Kayshon Boutte,WR,23.4,NE,78.0,74,67,4,3.5,3,1,1,1,52,39,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,26,0,1,0,1,4,30,30.0,30.0,0,0,0,30,0,NA,0,0,75.0%,NA,NA,NA,0,NA,1,1,1.000,1.0,26,4.3%,1.15,0,NA,NA,NA,NA,NA,0.038,NA,30,NA,NA,vs BUF,18,·,9.5,-5.5
15,6768,Tua Tagovailoa,QB,27.6,MIA,17.0,17,17,17.22,17.22,17.22,1,1,1,50,50,0,78.6,118,28,22,13,6,1,113.20,254,4,2,253,9.04,11.50,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,1,0,NA,1,1,100.0%,NA,NA,NA,0,NA,15,29,NA,NA,NA,NA,NA,15,53.6%,3.36,7.1%,30.3%,6.80,NA,33,254,+13.0%,+0.01,@ PIT,7,·,17.6,-0.4
15,9480,Brenton Strange,TE,24.8,JAX,40.0,36,31,3.6,3.1,2.6,1,1,1,62,51,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,1,19,1,1,0,3,7,26,26.0,8.7,0,0,0,26,0,NA,0,0,82.3%,NA,NA,NA,0,NA,1,3,0.333,1.0,25,9.4%,1.04,0,NA,NA,NA,NA,NA,0.040,NA,26,NA,NA,vs NYJ,19,·,9.6,-6.0
15,4033,David Njoku,TE,29.2,CLE,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ CHI,14,OUT,OUT,OUT
15,8131,Isaiah Likely,TE,25.4,BAL,999.0,999,999,0,0,0,1,1,1,41,21,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,51.2%,NA,NA,NA,0,NA,0,0,NA,0.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,@ CIN,1,·,9.2,-9.2
15,10213,Tre Tucker,WR,24.6,LV,999.0,999,999,0,0,0,1,1,1,42,39,0,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,0,NA,0,0,92.9%,NA,NA,NA,0,NA,0,3,0.000,0.0,31,12.0%,0.00,0,NA,NA,NA,NA,NA,0.000,NA,0,NA,NA,@ PHI,20,·,9.7,-9.7
15,1479,Keenan Allen,WR,33.4,LAC,46.0,50,61,8.6,6.1,3.6,1,1,0,66,28,1,0.0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,5,26,1,2,0,7,10,36,7.2,5.1,0,0,0,36,0,NA,0,0,42.4%,NA,NA,NA,0,NA,2,7,0.286,2.0,20,24.1%,1.80,0,NA,NA,NA,NA,NA,0.100,NA,36,NA,NA,@ KC,19,·,10.2,-1.6
